oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18aasnisf,1423117511915010028,59177.11751159979,1,17.154041,0.057742063,15.261,0.010098933
ZTF18aasnisf,1323249221915015022,59077.2492244998,1,17.15557,0.049888,14.935528,0.006456239
ZTF18aasnisf,1399132881915010018,59153.13288189983,1,17.204239,0.091398634,15.252454,0.015143475
ZTF18aasnisf,923339031915015016,58677.33903940022,1,16.959442,0.0696431,14.908059,0.010527496
ZTF18aasnisf,853424221915010045,58607.42422450008,1,17.3,0.03502635,15.237372,0.0052401535
ZTF18aasnisf,1043131811915010019,58797.131817100104,1,17.09881,0.052809466,15.270954,0.009807752
ZTF18aasnisf,916420761915010054,58670.42076390004,1,17.136534,0.046228718,15.264091,0.008240139
ZTF18aasnisf,879440271915015021,58633.440277799964,1,17.059067,0.06307319,14.922545,0.00881528
ZTF18aasnisf,1159526201915010034,58913.526203699876,1,17.198803,0.08289884,15.253357,0.013815607
ZTF18aasnisf,596339251915015019,58350.339259299915,1,17.249208,0.08903577,14.947201,0.010684679
ZTF18aasnisf,989127081915010023,58743.12708330015,1,17.101362,0.0730181,15.270481,0.013523157
ZTF18aasnisf,551378031915010025,58305.37803239981,2,15.811731,0.06680351,13.132344,0.005662973
ZTF18aasnisf,1308411211915015002,59062.411215300206,1,16.832262,0.07382418,14.887853,0.0123150125
ZTF18aasnisf,1282357781915010026,59036.357789400034,2,15.716052,0.10371988,13.140857,0.009677961
ZTF18aasnisf,1330328141915010027,59084.32814810006,1,17.171669,0.031758983,15.257945,0.0054497574
ZTF18aasnisf,930277081915010023,58684.277083300054,1,17.381882,0.07194314,15.2256365,0.0098739555
ZTF18aasnisf,953235641915015014,58707.2356480998,1,17.720411,0.14073448,14.994072,0.011425228
ZTF18aasnisf,1306318801915010016,59060.31880789995,1,17.066742,0.074390724,15.277016,0.014309629
ZTF18aasnisf,950316061915010025,58704.316064800136,1,17.141287,0.050233167,15.263246,0.008907873
ZTF18aasnisf,1337237211915015009,59091.23721060017,1,17.295122,0.12975876,14.952609,0.015001391
ZTF18aasnisf,604209871915010015,58358.20987269981,2,15.784064,0.039646145,13.134723,0.003455129
ZTF18aasnisf,1217442581915010033,58971.44258099981,1,17.764471,0.072304405,15.18226,0.0067031677
ZTF18aasnisf,1211457081915015024,58965.45708330022,2,15.643819,0.104143634,12.949223,0.00870551
ZTF18aasnisf,914301851915015017,58668.30185189983,1,17.889435,0.06744232,15.006854,0.004741331
ZTF18aasnisf,524379711915015062,58278.37971059978,1,17.75282,0.035540007,14.996667,0.0028070933
ZTF18aasnisf,907444341915010034,58661.444340299815,1,17.689283,0.11309382,15.189501,0.011311649
ZTF18aasnisf,538437651915015027,58292.437650499865,1,16.870504,0.055292103,14.894139,0.00895606
ZTF18aasnisf,521440981915010008,58275.44098380022,1,17.141373,0.01940771,15.26323,0.0034412588
ZTF18aasnisf,1357128681915015016,59111.12868059985,1,17.027306,0.03191082,14.91805,0.0045733633
ZTF18aasnisf,1076095891915010014,58830.095891200006,1,18.041233,0.13549477,15.159843,0.009536011
ZTF18aasnisf,952209361915015023,58706.209363400005,2,15.9154,0.219891,12.969496,0.01458297
ZTF18aasnisf,853387091915010042,58607.38709490001,2,16.039646,0.07320571,13.115055,0.0049511795
ZTF18aasnisf,519460551915015025,58273.4605556,1,17.575987,0.036425095,14.981604,0.0033392385
ZTF18aasnisf,1360214021915010034,59114.21402780013,1,17.248602,0.10270867,15.2452755,0.016228424
ZTF18aasnisf,951235851915010019,58705.23585649999,1,17.546543,0.058320723,15.204867,0.006747649
ZTF18aasnisf,923287581915015023,58677.28758100001,2,15.303739,0.139137,12.916342,0.015434195
ZTF18aasnisf,565373531915010032,58319.3735301001,1,17.220608,0.048252378,15.249765,0.007855641
ZTF18aasnisf,1250312891915015008,59004.312893500086,2,15.662117,0.06950637,12.950741,0.0057210266
ZTF18aasnisf,1058120911915010045,58812.12091440009,1,17.269224,0.060656432,15.242052,0.009375794
ZTF18aasnisf,520400051915010006,58274.40005790023,1,17.879694,0.04111075,15.172172,0.003395834
