oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18aaabbyh,1570166110615030008,59324.1661111,1,16.2383,0.052859,14.221438,0.008248488
ZTF18aaabbyh,1574222140615010005,59328.22214120021,1,16.29568,0.06894441,14.212752,0.010123446
ZTF18aaabbyh,1565268790615015001,59319.26879630005,1,15.5364,0.041929,13.815096,0.008589992
ZTF18aaabbyh,1570166110615010008,59324.1661111,1,16.238274,0.052859116,14.221443,0.008248741
ZTF18aaabbyh,1562225340615010015,59316.22534719994,1,16.518969,0.09789826,14.183515,0.011391827
ZTF18aaabbyh,1560224170615015001,59314.22417820012,1,16.03799,0.053795833,13.900675,0.0075131543
ZTF18aaabbyh,1558217890615015002,59312.21789349988,1,15.4612,0.036398,13.799259,0.007875921
ZTF18aaabbyh,1558266260615010007,59312.26626159996,2,16.45124,0.065234125,14.090952,0.0074192416
ZTF18aaabbyh,1556303880615015002,59310.303888900205,2,16.159513,0.10325237,13.837853,0.012168476
ZTF18aaabbyh,1554221640615010008,59308.22164350003,2,17.3654,0.144,14.022854,0.00662741
ZTF18aaabbyh,1554240540615010007,59308.240544000175,1,15.93182,0.067517176,14.278152,0.0147213405
ZTF18aaabbyh,1552329930615010007,59306.32993059978,1,16.226326,0.08091698,14.223319,0.012789013
ZTF18aaabbyh,1550241040615015001,59304.24104169989,1,15.715972,0.027217448,13.849544,0.0048783864
ZTF18aaabbyh,1548196950615010001,59302.196955999825,2,16.4335,0.052718,14.092988,0.0061059627
ZTF18aaabbyh,1550162120615015001,59304.16212960007,2,15.964972,0.057862733,13.81303,0.0079730125
ZTF18aaabbyh,1544254050615010004,59298.25405090023,1,15.859935,0.04854741,14.294479,0.011481106
ZTF18aaabbyh,1542341820615010008,59296.341828700155,2,16.290188,0.039382048,14.110879,0.0052914517
ZTF18aaabbyh,1542321130615010001,59296.32113429997,1,16.08372,0.039893482,14.247677,0.007353346
ZTF18aaabbyh,1540161880615015000,59294.161886599846,1,16.676743,0.055632867,13.970298,0.004599953
ZTF18aaabbyh,1526199990615020015,59280.200000000186,1,16.2691,0.06884,14.21671,0.010396447
ZTF18aaabbyh,1536198320615010010,59290.19832180021,1,15.888112,0.053163905,14.287921,0.012177002
ZTF18aaabbyh,1526199990615010015,59280.200000000186,1,16.269127,0.06884013,14.216706,0.010396173
ZTF18aaabbyh,1522298500615015000,59276.2985069002,2,16.836864,0.11814746,13.898928,0.00789314
ZTF18aaabbyh,1520181000615010001,59274.181006900035,1,16.570047,0.05617495,14.177724,0.0062031653
ZTF18aaabbyh,1518233990615010002,59272.2339931,2,16.658745,0.091239326,14.06968,0.008405358
ZTF18aaabbyh,1518158870615010006,59272.1588773001,1,16.187288,0.053674515,14.22962,0.008845059
ZTF18aaabbyh,1516351440615015002,59270.351446799934,2,15.758609,0.05578204,13.782156,0.009034693
ZTF18aaabbyh,1516216330615010007,59270.216330999974,1,16.321705,0.05321326,14.208982,0.0076020565
ZTF18aaabbyh,1512238950615015001,59266.23895830009,2,15.903573,0.0629488,13.804361,0.009105476
ZTF18aaabbyh,1510280300615010007,59264.280300899874,1,15.957543,0.045861214,14.272624,0.0097157825
ZTF18aaabbyh,1508287080615015001,59262.28708329983,1,16.199461,0.0458175,13.921834,0.005623162
ZTF18aaabbyh,1508201580615015000,59262.20158560015,2,15.799052,0.039895613,13.788606,0.0062624807
ZTF18aaabbyh,1503343800615015002,59257.34380789986,1,15.789781,0.03981983,13.86241,0.0067476253
ZTF18aaabbyh,1501279580615010004,59255.2795833,2,16.858511,0.07429913,14.0529995,0.0056076264
ZTF18aaabbyh,1497220060615015000,59251.220069400035,2,16.1011,0.129009,13.830804,0.015940476
ZTF18aaabbyh,1501197680615010014,59255.19768519979,1,16.198275,0.05208242,14.22782,0.008482216
ZTF18aaabbyh,1497278330615010011,59251.27833329979,1,16.266788,0.056250762,14.21706,0.008516027
ZTF18aaabbyh,1495394400615015001,59249.39440969983,2,16.931002,0.09830733,13.904969,0.006055818
ZTF18aaabbyh,1495246420615010004,59249.246423599776,1,15.934228,0.051980797,14.277628,0.011303243
ZTF18aaabbyh,1366479570615010014,59120.47957180021,1,15.960965,0.04387114,14.2719,0.009258764
ZTF18aaabbyh,1155154430615010004,58909.154432899784,2,16.5004,0.057583,14.0855,0.006227789
