oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18abdeajl,1041077291715010015,58795.07729170006,2,16.191093,0.1335347,14.493402,0.027958725
ZTF18abdeajl,818484571715010002,58572.4845718001,1,16.0581,0.040192,15.702102,0.02895613
ZTF18abdeajl,1157503331715015010,58911.50333329989,2,16.294075,0.062078264,14.128235,0.008445075
ZTF18abdeajl,611212411715015015,58365.21241899999,1,16.466293,0.046594393,14.838607,0.010405406
ZTF18abdeajl,1123519691715015006,58877.51969909994,2,16.2727,0.078552,14.125302,0.010869219
ZTF18abdeajl,1182497981715015011,58936.49798610015,1,16.67747,0.043814853,14.882332,0.008386226
ZTF18abdeajl,1251212441715015002,59005.21244210005,1,16.845436,0.059249517,14.912535,0.009989047
ZTF18abdeajl,1150523771715010030,58904.52377310023,2,16.009779,0.083419,14.535524,0.021456715
ZTF18abdeajl,1264338411715015014,59018.338414399885,1,16.64293,0.034182925,14.875636,0.006712617
ZTF18abdeajl,1044098791715010008,58798.098796300124,1,17.642748,0.14116102,15.224138,0.015214962
ZTF18abdeajl,1027089311715015006,58781.08931710012,2,16.1855,0.04843838,14.11281,0.00717983
ZTF18abdeajl,957289671715015014,58711.28967589978,2,16.57131,0.14769062,14.162041,0.016056284
ZTF18abdeajl,945186201715010011,58699.186203700025,1,17.332129,0.13495909,15.263607,0.020081384
ZTF18abdeajl,1465577831715015005,59219.57783559989,2,16.19541,0.08362732,14.114274,0.01229968
ZTF18abdeajl,1268341581715015010,59022.34158559982,1,17.40024,0.05578,14.9883585,0.006049591
ZTF18abdeajl,1383144661715010012,59137.14466439979,1,16.499254,0.07032346,15.46806,0.027203342
ZTF18abdeajl,1359181721715010011,59113.18172449991,1,16.703157,0.08723101,15.398428,0.026228849
ZTF18abdeajl,912234141715015025,58666.234143500216,1,17.31593,0.12093733,14.978892,0.014052234
ZTF18abdeajl,909299741715015008,58663.29974539997,2,15.993209,0.06996036,14.0820675,0.0120336
ZTF18abdeajl,1280213211715010008,59034.21321759978,1,16.136333,0.040733844,15.649039,0.026003862
ZTF18abdeajl,873377891715010010,58627.37789350003,2,15.258626,0.057995383,14.857385,0.040077157
ZTF18abdeajl,1250220851715015004,59004.22085649986,1,17.369598,0.09344162,14.984993,0.010391981
ZTF18abdeajl,1150551601715015005,58904.55160879996,1,17.208881,0.07105232,14.965898,0.009002949
ZTF18abdeajl,1376152801715015001,59130.15280089993,1,17.059307,0.07015149,14.9457655,0.010014294
ZTF18abdeajl,1244360711715010022,58998.36071760021,1,16.689257,0.072120845,15.402643,0.022050343
ZTF18abdeajl,557191511715010011,58311.19151620008,2,15.854425,0.013300822,14.579357,0.0041100886
ZTF18abdeajl,1296291451715010018,59050.29145829985,2,16.081585,0.1871523,14.517797,0.044328228
ZTF18abdeajl,1465570681715015011,59219.57068290003,2,16.064697,0.041916694,14.094034,0.006825298
ZTF18abdeajl,1396121871715010032,59150.121875000186,2,15.7456,0.01466,14.615317,0.0051763193
ZTF18abdeajl,1385099971715015012,59139.099976900034,2,16.0679,0.241802,14.094555,0.039275512
ZTF18abdeajl,887232651715015012,58641.23265049979,1,17.003492,0.035441417,14.93762,0.0052864267
ZTF18abdeajl,813523031715015002,58567.523032399826,2,16.224218,0.049340773,14.1184635,0.007094208
ZTF18abdeajl,772539881715015013,58526.53988429997,2,16.96226,0.11668866,14.198332,0.0091507705
ZTF18abdeajl,582245301715015015,58336.24530090019,1,16.6595,0.075136,14.87887,0.014574577
