oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18abdljjw,882403630515015019,58636.40363429999,2,14.851462,0.04358844,14.790199,0.041197047
ZTF18abdljjw,671086940515015028,58425.08694439987,2,16.13671,0.041304324,15.948189,0.034720607
ZTF18abdljjw,1038100980515015012,58792.1009837999,1,20.0195,0.268676,19.808165,0.22115394
ZTF18abdljjw,633207470515015009,58387.20747689996,1,17.692238,0.06128702,17.665222,0.059780903
ZTF18abdljjw,903377690515015010,58657.377696800046,2,15.491868,0.03523766,15.383757,0.03189794
ZTF18abdljjw,1296381040515015016,59050.38104170002,1,18.801882,0.08550318,18.728413,0.079908855
ZTF18abdljjw,620250260515015009,58374.25026619993,1,18.36641,0.062946655,18.31667,0.060128007
ZTF18abdljjw,1373113030515015040,59127.11303240014,2,16.881378,0.04566121,16.534447,0.033172246
ZTF18abdljjw,1360213090515015015,59114.213090300094,1,18.330824,0.0919944,18.282654,0.0880021
ZTF18abdljjw,1224492190515010077,58978.49219910009,2,18.450813,0.11878334,19.009403,0.19869699
ZTF18abdljjw,889299450515015027,58643.29945599986,2,14.91565,0.043780424,14.850765,0.0412407
ZTF18abdljjw,600253510515015025,58354.2535184999,2,17.49177,0.05355538,16.941137,0.03225152
ZTF18abdljjw,629148490515015031,58383.14849539986,2,15.796729,0.039378054,15.655762,0.03458338
ZTF18abdljjw,617169810515015038,58371.16981479991,2,16.537148,0.028054422,16.274057,0.022017373
ZTF18abdljjw,589320080515015016,58343.320081000216,2,18.017717,0.06389056,17.226624,0.03083182
ZTF18abdljjw,626170710515015064,58380.1707175998,1,17.88673,0.06906116,17.854494,0.067040786
ZTF18abdljjw,1201443540515010076,58955.44354170002,2,18.581799,0.10850585,18.820436,0.13517876
ZTF18abdljjw,994134600515010098,58748.134606500156,2,18.40824,0.10548838,19.084578,0.19667073
ZTF18abdljjw,588324340515015020,58342.32434030017,2,18.003332,0.06664298,17.219658,0.03238058
ZTF18abdljjw,557377840515010036,58311.377847199794,2,18.736334,0.08061737,18.654362,0.07475492
ZTF18abdljjw,674102110515015043,58428.10211810004,2,16.265915,0.026493944,16.055742,0.02183118
