oid,candoid,mjd,fid,magpsf,sigmapsf,magpsf_corr,sigmapsf_corr_ext
ZTF18abdeyrl,1575474055915020005,59329.47405089997,1,17.8261,0.076466,17.11383,0.039679
ZTF18abdeyrl,1588470825915015011,59342.470821800176,1,17.792744,0.061736148,16.332323,0.016083168
ZTF18abdeyrl,1575448345915030011,59329.44834489981,2,18.7684,0.136087,16.869064,0.023663694
ZTF18abdeyrl,1575474055915030005,59329.47405089997,1,17.8261,0.076466,17.11383,0.039679
ZTF18abdeyrl,1591429875915010021,59345.42987270001,1,18.344294,0.09675823,16.918648,0.026027344
ZTF18abdeyrl,1594446365915010008,59348.4463657001,1,17.746172,0.061636105,17.157747,0.035848007
ZTF18abdeyrl,1598429535915015014,59352.429537000135,2,17.181625,0.04652012,16.158699,0.018133037
ZTF18abdeyrl,1598465935915015013,59352.46593749989,1,18.35077,0.06609059,16.452396,0.011502439
ZTF18abdeyrl,1602448295915010012,59356.44829860004,1,17.705408,0.073061176,17.182178,0.045122676
ZTF18abdeyrl,1605435605915010002,59359.435601899866,2,18.600307,0.12272506,16.901148,0.025660744
ZTF18abdeyrl,1605462235915010002,59359.462233799975,1,17.947243,0.08702323,17.05592,0.038291827
ZTF18abdeyrl,1608428475915015006,59362.42847219994,1,17.902765,0.07818708,16.35993,0.018879946
ZTF18abdeyrl,1608451895915015009,59362.451898099855,2,17.798346,0.06611443,16.359589,0.017570872
ZTF18abdeyrl,1610406405915010002,59364.406400499865,1,18.871061,0.104771286,16.811813,0.015723268
ZTF18abdeyrl,1613414825915010006,59367.41482640011,2,18.908888,0.13876213,16.84639,0.020762106
ZTF18abdeyrl,1613443715915010011,59367.443715299945,1,17.702213,0.076157495,17.184156,0.047259584
ZTF18abdeyrl,1615409955915010005,59369.40995369991,1,17.665405,0.060194876,17.207642,0.039486986
ZTF18abdeyrl,1615455625915015014,59369.455624999944,2,17.96612,0.061551973,16.401709,0.014570606
ZTF18abdeyrl,1617406445915015015,59371.4064468001,1,16.63108,0.027323665,15.892869,0.013843767
ZTF18abdeyrl,1620403655915010006,59374.40365740005,1,18.604473,0.10151963,16.858133,0.020324243
ZTF18abdeyrl,1623443575915010016,59377.44357640017,1,17.724186,0.07375358,17.170742,0.04430016
ZTF18abdeyrl,1625415195915010005,59379.41519680014,2,18.612167,0.120249085,16.898684,0.024813522
ZTF18abdeyrl,1625422655915010012,59379.4226505002,1,18.009089,0.06673016,17.029785,0.027076997
ZTF18abdeyrl,1627401825915015017,59381.40182870021,2,16.834719,0.03997872,16.010038,0.018704956
ZTF18abdeyrl,1632416135915010009,59386.416134300176,2,18.730545,0.09181432,16.875784,0.016634362
ZTF18abdeyrl,1632442595915010013,59386.442592599895,1,17.776878,0.059924588,17.14028,0.033339974
ZTF18abdeyrl,1636384025915015005,59390.38402780006,2,16.575432,0.03989853,15.880996,0.021046624
ZTF18abdeyrl,1636433935915015002,59390.433935199864,1,17.021215,0.034907475,16.07308,0.014576866
ZTF18abdeyrl,1638419835915015009,59392.41983800009,2,18.228058,0.09148561,16.45825,0.017923769
ZTF18abdeyrl,1638458775915010010,59392.45877309982,1,18.414442,0.10181975,16.900528,0.025250284
ZTF18abdeyrl,1641419605915010003,59395.41960649984,1,17.68826,0.07976225,17.192907,0.050542466
ZTF18abdeyrl,1643416625915010008,59397.4166203998,2,19.076078,0.18613137,16.823448,0.023375856
ZTF18abdeyrl,1643434465915010008,59397.43446760019,1,17.78315,0.085239775,17.136805,0.04700072
ZTF18abdeyrl,1646398805915015013,59400.39880790003,1,16.790148,0.035190154,15.97055,0.016541772
ZTF18abdeyrl,1648340095915015018,59402.34009259986,1,17.685694,0.053342268,16.303404,0.0149332825
ZTF18abdeyrl,1648409935915015021,59402.40993059985,2,18.454903,0.08084247,16.499117,0.013345199
ZTF18abdeyrl,1650380905915010006,59404.38090279978,1,18.007519,0.06171396,17.030422,0.025092544
ZTF18abdeyrl,1650435505915010005,59404.43550929986,2,18.93777,0.1569424,16.842133,0.022776397
ZTF18abdeyrl,1654380715915010001,59408.38071760023,1,17.643806,0.08260871,17.222048,0.05601728
ZTF18abdeyrl,1654436965915015016,59408.43696760014,2,16.630463,0.04574284,15.909677,0.023550967
ZTF18abdeyrl,1656446495915015023,59410.44649309991,1,18.696878,0.11570986,16.505241,0.015371479
ZTF18abdeyrl,1658409185915015015,59412.4091897998,2,19.224815,0.16586193,16.594194,0.014706135
ZTF18abdeyrl,1658453575915010008,59412.453576399945,1,18.075352,0.09247019,17.00401,0.034471866
ZTF18abdeyrl,1661436845915010009,59415.43684029998,1,17.80864,0.056337114,17.123003,0.029959852
ZTF18abdeyrl,1668288725915015004,59422.28872689977,1,17.492956,0.059065804,16.24591,0.018729128
ZTF18abdeyrl,1670304215915010005,59424.304212999996,1,18.470184,0.11683737,16.887136,0.02718707
