oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aasnisf,Ceph,4.8733144,ASASSN,50,50,0.5480310916900635,4.873368953467604
ZTF17aabwqhv,Ceph,4.39124,CRTSnorth,50,50,0.4970285892486572,4.393504837132595
ZTF18abayiew,Ceph,3.3024,ASASSN,50,50,0.5340304374694824,3.3029836015779686
ZTF18achypyv,Ceph,33.8249,CRTSnorth,50,50,0.7400426864624023,16.905373143344875
ZTF17aabpjhw,Ceph,0.8200492,ASASSN,50,50,0.7690441608428955,0.8200245015564049
ZTF17aabutnm,Ceph,8.1926797,ASASSN,50,50,0.7330417633056641,8.19808747197996
ZTF18acvdnhl,Ceph,1.3613017,ASASSN,50,50,0.7860450744628906,1.3612118928784045
ZTF18aaveqhe,Ceph,63.0362388,ASASSN,50,50,0.8000457286834717,31.3324576592012
ZTF18abdqbbq,Ceph,1.08175,CRTSnorth,50,50,0.725041389465332,0.2003639769221637
ZTF19aadaesf,Ceph,38.453804,CRTSnorth,50,50,0.6760387420654297,38.24033601940271
ZTF18aagrijw,Ceph,1.242407,LINEAR,50,50,0.6370365619659424,0.553252019632429
ZTF18acduxsw,Ceph,3.13871,ASASSN,50,50,0.6250357627868652,3.138565956595879
ZTF18acpvmjm,Ceph,1.4580462,ASASSN,50,50,0.5790331363677979,3.1543118528107965
ZTF19acelhxy,Ceph,3.7992568,ASASSN,50,50,0.5370309352874756,0.7899612344152989
ZTF17aaadyzd,Ceph,4.5607572,ASASSN,50,50,0.592033863067627,4.561538871391146
ZTF17aabumnd,Ceph,1.4952694,CRTSnorth,50,50,0.7900452613830566,1.4955889421286228
ZTF17aaattgz,Ceph,4.4102151,ASASSN,50,50,0.717041015625,4.411175466674511
ZTF18aaxmrja,Ceph,2.44832,CRTSnorth,50,50,0.7160406112670898,2.448246653726619
ZTF18acvvybk,Ceph,2.07244,CRTSnorth,50,50,0.6300358772277832,2.072310403043171
ZTF17aaarsuk,Ceph,4.5607572,ASASSN,50,50,0.5770330429077148,4.563084864910476
ZTF18abgpbkr,Ceph,3.7555038,ASASSN,50,50,0.6540374755859375,3.7553948475605514
ZTF18abadigg,Ceph,1.76708,CRTSnorth,50,50,0.7730443477630615,1.767179164027646
ZTF17aabuwok,Ceph,3.52189,ASASSN,50,50,0.7390420436859131,3.5217947650721033
ZTF18aaxddfx,Ceph,10.62586,ASASSN,50,50,0.716041088104248,10.630881529220227
ZTF17aadpxct,Ceph,1.2226,ASASSN,50,50,0.621035099029541,1.222548972726494
ZTF17aaanoqn,Ceph,5.1462459,ASASSN,50,50,0.5710325241088867,5.148488573566858
ZTF18acvwfwb,Ceph,78.4132466,ASASSN,50,50,0.5250301361083984,78.14993840717885
ZTF18abnbiwm,Ceph,10.2204,CRTSnorth,50,50,0.495028018951416,10.216079089475773
ZTF18abbltzs,Ceph,3.9999759,ASASSN,50,50,0.489027738571167,4.000108400260903
ZTF18abvpirg,Ceph,119.947,CRTSnorth,50,50,0.4720273017883301,121.71060124877137
ZTF17aaarsmp,Ceph,4.9107789,ASASSN,50,50,0.44402527809143066,4.910856661970929
ZTF18acrwlft,Ceph,1.0452794,CRTSnorth,50,50,0.45502614974975586,1.0452589897299187
ZTF18abecqku,Ceph,48.6607552,ASASSN,50,50,0.41402387619018555,32.449499096425164
ZTF18abvktfe,Ceph,44.6450667,ASASSN,50,50,0.41802382469177246,1.017279209167416
ZTF18abbkgxn,Ceph,2.3975,CRTSnorth,50,50,0.42502427101135254,2.3975383058873345
ZTF18abcocjn,Ceph,0.9359073,ASASSN,50,50,0.5320305824279785,0.935922733219339
ZTF17aaaqjzz,Ceph,1.66805,ASASSN,50,50,0.7480425834655762,1.6682181043435995
ZTF17aabwgen,Ceph,2.5602192,ASASSN,50,50,0.6690380573272705,2.546059683427219
ZTF18aavzjqs,Ceph,9.83349,ASASSN,50,50,0.6240358352661133,9.827188090266855
ZTF17aabuwgb,Ceph,6.0138565,ASASSN,50,50,0.5710325241088867,6.01672038671767
ZTF17aabxitd,Ceph,1.0819712,CRTSnorth,50,50,0.5190293788909912,1.081987949015681
ZTF17aaasltt,Ceph,2.94414,ASASSN,50,50,0.5310304164886475,2.9440255123460997
ZTF17aaaoxiq,Ceph,1.9194449,ASASSN,50,50,0.5030286312103271,1.9193923684059715
ZTF18aayuwee,Ceph,3.26948,ASASSN,50,50,0.474027156829834,3.2694932759111954
ZTF18aaxdohg,Ceph,15.2283166,ASASSN,50,50,0.45302581787109375,5.075738536461256
ZTF18aajesni,Ceph,44.7798,CRTSnorth,50,50,0.7560431957244873,22.401484445887093
ZTF18acuencd,Ceph,13.85,CRTSnorth,50,50,0.7600436210632324,13.856577692716087
ZTF18acrmlma,Ceph,188.55902,CRTSnorth,50,50,0.7170407772064209,93.54303375036967
ZTF17aacemqz,Ceph,16.2488,CRTSnorth,50,50,0.6360363960266113,16.273717776180497
ZTF18aazfehx,Ceph,4.27789,ASASSN,50,50,0.5710325241088867,4.2790200876495526
ZTF17aaathzk,Ceph,1.9995431,ASASSN,50,50,0.5670325756072998,1.999617441141488
ZTF17aabxqbf,Ceph,2.07762,CRTSnorth,50,50,0.5190296173095703,2.077556330149718
ZTF18aavyrll,Ceph,14.57726,ASASSN,50,50,0.5100290775299072,14.571074963716997
ZTF18aajrczk,Ceph,2.6649887,CRTSnorth,50,50,0.482027530670166,2.665090092344343
ZTF17aaajtcq,Ceph,5.6042965,ASASSN,50,50,0.44402551651000977,5.603764559329783
ZTF19aaepkcx,Ceph,32.9146014,ASASSN,50,50,0.4190237522125244,32.88629653024686
ZTF18aaayyfx,Ceph,44.7798,CRTSnorth,50,50,0.59403395652771,22.397980882588996
ZTF17aacxfhf,Ceph,6.4408,CRTSnorth,50,50,0.7840447425842285,6.439766355690094
ZTF18abxeian,Ceph,1.22977,CRTSnorth,50,50,0.6840391159057617,0.550705533386679
ZTF17aaaielp,Ceph,2.01922,ASASSN,50,50,0.6230356693267822,2.0193630838918155
ZTF18abnbnnl,Ceph,2.45851,ASASSN,50,50,0.5670325756072998,2.458413853780056
ZTF17aaaslue,Ceph,3.0821796,ASASSN,50,50,0.5290303230285645,3.0822234328362073
ZTF17aaarkmi,Ceph,2.1307414,ASASSN,50,50,0.4950284957885742,2.1308072617899807
ZTF17aaafihc,Ceph,2.6756359,ASASSN,50,50,0.46002626419067383,2.675669565814444
ZTF17aaauijj,Ceph,64.560658,CRTSnorth,50,50,0.4350247383117676,32.37347205085908
ZTF17aabveaf,Ceph,5.6880091,ASASSN,50,50,0.42302441596984863,5.688380888222364
ZTF17aaarsgn,Ceph,4.4102151,ASASSN,50,50,0.5240299701690674,4.410945511276681
ZTF17aaarsgq,Ceph,4.98922,ASASSN,50,50,0.4390251636505127,4.989039672799857
ZTF17aaauijn,Ceph,11.2189633,ASASSN,50,50,0.42302417755126953,11.226644048789476
ZTF18abbpxhz,Ceph,0.832478,LINEAR,50,50,0.3930222988128662,0.8324501556143871
ZTF18abumeru,Ceph,32.9146014,ASASSN,50,50,0.4040231704711914,32.87686891939083
ZTF17aaaruzn,Ceph,4.691084,ASASSN,50,50,0.3950226306915283,4.691034972343499
ZTF18aapyqmc,Ceph,2.9293336,CRTSnorth,50,50,0.4040229320526123,0.3753642716416129
ZTF17aaagvnm,Ceph,1.5318547,ASASSN,50,50,0.42902469635009766,1.5320851692244815
ZTF18abeeqhi,Ceph,4.6639079,ASASSN,50,50,0.4110233783721924,4.663848052969469
ZTF18abmxaez,Ceph,4.9025182,CRTSnorth,50,50,0.3910224437713623,4.902416082330021
ZTF17aaawhro,Ceph,3.3707962,ASASSN,50,50,0.39002251625061035,3.371612217909731
ZTF17aaawgxd,Ceph,3.43808,ASASSN,50,50,0.40502309799194336,3.438259913441162
ZTF17aaajqkd,Ceph,0.9441747,CRTSnorth,50,50,0.4130237102508545,0.9441305753286842
ZTF18aaqgbes,Ceph,1.1260715,CRTSnorth,50,50,0.4240243434906006,1.126213410588953
ZTF17aabvsvg,Ceph,3.7992568,ASASSN,50,50,0.40302324295043945,3.7998992202570143
ZTF17aaajtgd,Ceph,3.8784172,ASASSN,50,50,0.39902257919311523,3.877235327193296
ZTF18aaaatsz,Ceph,10.2611,CRTSnorth,50,50,0.40702342987060547,10.263585272284116
ZTF17aaapnbi,Ceph,3.4546981,ASASSN,50,50,0.3890221118927002,3.4553292290575386
ZTF18abucmsx,Ceph,20.9900071,ASASSN,50,50,0.4080233573913574,21.18287326486757
ZTF18acuauci,Ceph,17.0620863,ASASSN,50,50,0.39002227783203125,16.996829776769093
ZTF18abmrxbz,Ceph,3.03252,ASASSN,50,50,0.48802804946899414,3.0333689228250953
ZTF18abvktxd,Ceph,3.03252,ASASSN,50,50,0.7480428218841553,3.0328152110117657
ZTF18aaaapoh,Ceph,3.5055112,ASASSN,50,50,0.6690382957458496,3.5053109630359565
ZTF17aaarubc,Ceph,3.7059728,ASASSN,50,50,0.7360422611236572,3.706384896802976
ZTF18abcpckp,Ceph,6.1673542,ASASSN,50,50,0.7570431232452393,6.167882884228244
ZTF18abcocip,Ceph,5.255983,ASASSN,50,50,0.8060462474822998,5.253408808212723
ZTF18aaaakbj,Ceph,3.3306681,ASASSN,50,50,0.7870447635650635,3.3305609341097036
ZTF17aaburcr,Ceph,44.6697811,ASASSN,50,50,0.6950397491455078,21.7615264537186
ZTF17aabvgea,Ceph,7.3491397,ASASSN,50,50,0.6750383377075195,7.346100918189143
ZTF18abtjmni,Ceph,20.3969,CRTSnorth,50,50,0.7550430297851562,20.382358855642916
ZTF17aaaecwl,Ceph,8.1926797,ASASSN,50,50,0.5270302295684814,8.194882811648633
ZTF18acmgosa,Ceph,3.2969982,ASASSN,50,50,0.49202799797058105,3.2964472119845714
ZTF18aabnoxk,Ceph,13.0773683,ASASSN,50,50,0.5060288906097412,13.103481067599914
ZTF18abckqyw,Ceph,0.9960525,ASASSN,50,50,0.4650266170501709,0.3057427092460428
