oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aasnisf,Ceph,4.8733144,ASASSN,30,30,0.21201205253601074,4.872860827718328
ZTF17aabwqhv,Ceph,4.39124,CRTSnorth,30,30,0.2000112533569336,4.39339086173738
ZTF18abayiew,Ceph,3.3024,ASASSN,30,30,0.19401097297668457,3.3031557867276784
ZTF18achypyv,Ceph,33.8249,CRTSnorth,30,30,0.20501184463500977,16.909339726369378
ZTF17aabpjhw,Ceph,0.8200492,ASASSN,30,30,0.20301175117492676,0.8200458552622234
ZTF17aabutnm,Ceph,8.1926797,ASASSN,30,30,0.20701169967651367,8.1974465508358
ZTF18acvdnhl,Ceph,1.3613017,ASASSN,30,30,0.19901132583618164,1.361247538988983
ZTF18aaveqhe,Ceph,63.0362388,ASASSN,30,30,0.20101141929626465,31.3242891216539
ZTF18abdqbbq,Ceph,1.08175,CRTSnorth,30,30,0.1980113983154297,0.23876285000219272
ZTF19aadaesf,Ceph,38.453804,CRTSnorth,30,30,0.2020118236541748,38.286210395803735
ZTF18aagrijw,Ceph,1.242407,LINEAR,30,30,0.20101141929626465,0.553252019632429
ZTF18acduxsw,Ceph,3.13871,ASASSN,30,30,0.2000112533569336,3.138565956595879
ZTF18acpvmjm,Ceph,1.4580462,ASASSN,30,30,0.2000114917755127,3.1543118528107965
ZTF19acelhxy,Ceph,3.7992568,ASASSN,30,30,0.20701193809509277,0.7900024195354066
ZTF17aaadyzd,Ceph,4.5607572,ASASSN,30,30,0.20701169967651367,4.561776652865649
ZTF17aabumnd,Ceph,1.4952694,CRTSnorth,30,30,0.21201229095458984,1.4955889421286228
ZTF17aaattgz,Ceph,4.4102151,ASASSN,30,30,0.2020115852355957,4.411865476749415
ZTF18aaxmrja,Ceph,2.44832,CRTSnorth,30,30,0.20101141929626465,2.44811901951944
ZTF18acvvybk,Ceph,2.07244,CRTSnorth,30,30,0.1980113983154297,2.072310403043171
ZTF17aaarsuk,Ceph,4.5607572,ASASSN,30,30,0.2000114917755127,0.8183590541016759
ZTF18abgpbkr,Ceph,3.7555038,ASASSN,30,30,0.19901132583618164,3.7548076004907305
ZTF18abadigg,Ceph,1.76708,CRTSnorth,30,30,0.20601153373718262,1.7670407766849592
ZTF17aabuwok,Ceph,3.52189,ASASSN,30,30,0.19901132583618164,3.5216111445392104
ZTF18aaxddfx,Ceph,10.62586,ASASSN,30,30,0.1980113983154297,10.630881529220227
ZTF17aadpxct,Ceph,1.2226,ASASSN,30,30,0.2000114917755127,1.2225169586257367
ZTF17aaanoqn,Ceph,5.1462459,ASASSN,30,30,0.19801115989685059,5.148757007214625
ZTF18acvwfwb,Ceph,78.4132466,ASASSN,30,30,0.20101141929626465,0.984721154685452
ZTF18abnbiwm,Ceph,10.2204,CRTSnorth,30,30,0.20301151275634766,10.220871934557694
ZTF18abbltzs,Ceph,3.9999759,ASASSN,30,30,0.19901132583618164,4.000838714217314
ZTF18abvpirg,Ceph,119.947,CRTSnorth,30,30,0.2040119171142578,121.64084485373291
ZTF17aaarsmp,Ceph,4.9107789,ASASSN,30,30,0.19901156425476074,4.910344760969882
ZTF18acrwlft,Ceph,1.0452794,CRTSnorth,30,30,0.1980113983154297,1.0452589897299187
ZTF18abecqku,Ceph,48.6607552,ASASSN,30,30,0.19901132583618164,32.449499096425164
ZTF18abvktfe,Ceph,44.6450667,ASASSN,30,30,0.19901132583618164,0.7309067275053146
ZTF18abbkgxn,Ceph,2.3975,CRTSnorth,30,30,0.2000112533569336,2.3976005039444983
ZTF18abcocjn,Ceph,0.9359073,ASASSN,30,30,0.19601082801818848,0.9358983392301405
ZTF17aaaqjzz,Ceph,1.66805,ASASSN,30,30,0.19601130485534668,1.6682181043435995
ZTF17aabwgen,Ceph,2.5602192,ASASSN,30,30,0.19901132583618164,2.5465242360125404
ZTF18aavzjqs,Ceph,9.83349,ASASSN,30,30,0.19801115989685059,9.828212569741467
ZTF17aabuwgb,Ceph,6.0138565,ASASSN,30,30,0.19901132583618164,6.016093179300502
ZTF17aabxitd,Ceph,1.0819712,CRTSnorth,30,30,0.20101141929626465,1.0819315389012425
ZTF17aaasltt,Ceph,2.94414,ASASSN,30,30,0.19501137733459473,2.9440255123460997
ZTF17aaaoxiq,Ceph,1.9194449,ASASSN,30,30,0.19801115989685059,1.9194924214714773
ZTF18aayuwee,Ceph,3.26948,ASASSN,30,30,0.1980113983154297,3.2693228188464767
ZTF18aaxdohg,Ceph,15.2283166,ASASSN,30,30,0.2000114917755127,5.0753416081907305
ZTF18aajesni,Ceph,44.7798,CRTSnorth,30,30,0.20501160621643066,22.40557144250408
ZTF18acuencd,Ceph,13.85,CRTSnorth,30,30,0.2130122184753418,13.853328919301589
ZTF18acrmlma,Ceph,188.55902,CRTSnorth,30,30,0.2000114917755127,93.83606759138273
ZTF17aacemqz,Ceph,16.2488,CRTSnorth,30,30,0.20501160621643066,16.2775359299623
ZTF18aazfehx,Ceph,4.27789,ASASSN,30,30,0.19901132583618164,4.278797068040435
ZTF17aaathzk,Ceph,1.9995431,ASASSN,30,30,0.20601177215576172,1.9995132333064713
ZTF17aabxqbf,Ceph,2.07762,CRTSnorth,30,30,0.1980113983154297,2.077556330149718
ZTF18aavyrll,Ceph,14.57726,ASASSN,30,30,0.22201275825500488,0.933291832865921
ZTF18aajrczk,Ceph,2.6649887,CRTSnorth,30,30,0.19901108741760254,2.665090092344343
ZTF17aaajtcq,Ceph,5.6042965,ASASSN,30,30,0.21701264381408691,5.604056745545797
ZTF19aaepkcx,Ceph,32.9146014,ASASSN,30,30,0.1980113983154297,32.95322300405142
ZTF18aaayyfx,Ceph,44.7798,CRTSnorth,30,30,0.2110121250152588,22.4044036185326
ZTF17aacxfhf,Ceph,6.4408,CRTSnorth,30,30,0.2000114917755127,6.441948759212012
ZTF18abxeian,Ceph,1.22977,CRTSnorth,30,30,0.20101141929626465,0.550705533386679
ZTF17aaaielp,Ceph,2.01922,ASASSN,30,30,0.19601106643676758,2.0193630838918155
ZTF18abnbnnl,Ceph,2.45851,ASASSN,30,30,0.19901132583618164,2.458413853780056
ZTF17aaaslue,Ceph,3.0821796,ASASSN,30,30,0.19901132583618164,3.0822234328362073
ZTF17aaarkmi,Ceph,2.1307414,ASASSN,30,30,0.20701193809509277,2.1308072617899807
ZTF17aaafihc,Ceph,2.6756359,ASASSN,30,30,0.19901156425476074,2.675948503036958
ZTF17aaauijj,Ceph,64.560658,CRTSnorth,30,30,0.2000114917755127,32.31698400376259
ZTF17aabveaf,Ceph,5.6880091,ASASSN,30,30,0.1980113983154297,5.688084429140604
ZTF17aaarsgn,Ceph,4.4102151,ASASSN,30,30,0.20301175117492676,4.410025929387733
ZTF17aaarsgq,Ceph,4.98922,ASASSN,30,30,0.2000112533569336,4.989299725253105
ZTF17aaauijn,Ceph,11.2189633,ASASSN,30,30,0.20301175117492676,11.232205128115462
ZTF18abbpxhz,Ceph,0.832478,LINEAR,30,30,0.20501160621643066,0.8324935513958865
ZTF18abumeru,Ceph,32.9146014,ASASSN,30,30,0.19901156425476074,32.91116362762328
ZTF17aaaruzn,Ceph,4.691084,ASASSN,30,30,0.20301151275634766,4.691034972343499
ZTF18aapyqmc,Ceph,2.9293336,CRTSnorth,30,30,0.2000114917755127,1.5122483062450802
ZTF17aaagvnm,Ceph,1.5318547,ASASSN,30,30,0.20101141929626465,1.5321650287832287
ZTF18abeeqhi,Ceph,4.6639079,ASASSN,30,30,0.20301175117492676,4.66457739674894
ZTF18abmxaez,Ceph,4.9025182,CRTSnorth,30,30,0.19901132583618164,0.45455276499518255
ZTF17aaawhro,Ceph,3.3707962,ASASSN,30,30,0.2040116786956787,3.3725789350253677
ZTF17aaawgxd,Ceph,3.43808,ASASSN,30,30,0.19901156425476074,3.438169877948306
ZTF17aaajqkd,Ceph,0.9441747,CRTSnorth,30,30,0.19601130485534668,0.9441305753286842
ZTF18aaqgbes,Ceph,1.1260715,CRTSnorth,30,30,0.20301198959350586,1.126213410588953
ZTF17aabvsvg,Ceph,3.7992568,ASASSN,30,30,0.19901180267333984,3.800295419817709
ZTF17aaajtgd,Ceph,3.8784172,ASASSN,30,30,0.2040119171142578,3.877235327193296
ZTF18aaaatsz,Ceph,10.2611,CRTSnorth,30,30,0.2020113468170166,10.259840754824337
ZTF17aaapnbi,Ceph,3.4546981,ASASSN,30,30,0.20301151275634766,3.454878558434064
ZTF18abucmsx,Ceph,20.9900071,ASASSN,30,30,0.19901132583618164,21.199995358223372
ZTF18acuauci,Ceph,17.0620863,ASASSN,30,30,0.20301151275634766,17.00879559948883
ZTF18abmrxbz,Ceph,3.03252,ASASSN,30,30,0.20901203155517578,3.0328152110117657
ZTF18abvktxd,Ceph,3.03252,ASASSN,30,30,0.2040116786956787,3.033289489951241
ZTF18aaaapoh,Ceph,3.5055112,ASASSN,30,30,0.20501160621643066,3.5050364630422126
ZTF17aaarubc,Ceph,3.7059728,ASASSN,30,30,0.2020115852355957,3.7065780811250595
ZTF18abcpckp,Ceph,6.1673542,ASASSN,30,30,0.20501160621643066,6.167239885502803
ZTF18abcocip,Ceph,5.255983,ASASSN,30,30,0.2020113468170166,5.253271240587494
ZTF18aaaakbj,Ceph,3.3306681,ASASSN,30,30,0.19801115989685059,3.3307345387708027
ZTF17aaburcr,Ceph,44.6697811,ASASSN,30,30,0.19701147079467773,21.763795436847158
ZTF17aabvgea,Ceph,7.3491397,ASASSN,30,30,0.19601130485534668,7.346100918189143
ZTF18abtjmni,Ceph,20.3969,CRTSnorth,30,30,0.20101165771484375,20.36430404519084
ZTF17aaaecwl,Ceph,8.1926797,ASASSN,30,30,0.19401121139526367,8.194455677682626
ZTF18acmgosa,Ceph,3.2969982,ASASSN,30,30,0.19701123237609863,0.7673939217028064
ZTF18aabnoxk,Ceph,13.0773683,ASASSN,30,30,0.2000114917755127,13.10177350563681
ZTF18abckqyw,Ceph,0.9960525,ASASSN,30,30,0.19801115989685059,0.3057427092460428
