oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18aaabbyh,DSCT,0.0915922,ASASSN,30,30,0.4480257034301758,0.5659704128403062
ZTF18abnjsfs,DSCT,0.0806261,ASASSN,30,30,0.3950226306915283,0.08771808338521332
ZTF18acrupio,DSCT,0.111154,ASASSN,30,30,0.37702131271362305,0.166913556348132
ZTF18abokdrv,DSCT,0.1719814,ASASSN,30,30,0.37002110481262207,0.14667932651162638
ZTF18aagrkrh,DSCT,0.0887916,CRTSnorth,30,30,0.3890223503112793,0.4347154673083925
ZTF18aaiwqwc,DSCT,0.059257,LINEAR,30,30,0.39002227783203125,0.059255500813297834
ZTF18aaaakyv,DSCT,0.064343,ASASSN,30,30,0.39902281761169434,0.06044414414176815
ZTF17aaaoujw,DSCT,0.1040589,ASASSN,30,30,0.3980228900909424,0.10405861825791905
ZTF18aaadnum,DSCT,0.0558111,ASASSN,30,30,0.37302112579345703,0.055810538369940633
ZTF18aabkonv,DSCT,0.04893,LINEAR,30,30,0.3980226516723633,0.39063572967162763
ZTF18aabjzye,DSCT,0.060337,CRTSnorth,30,30,0.37502169609069824,0.1496840581454043
ZTF17aadopqk,DSCT,0.1020738,ASASSN,30,30,0.4090235233306885,0.12830469956639548
ZTF17aabtvzr,DSCT,0.049606,LINEAR,30,30,0.5070290565490723,0.6033539453746998
ZTF18acqowix,DSCT,0.0882718,CRTSnorth,30,30,0.5580317974090576,0.09684586802165851
ZTF18abakkui,DSCT,0.1932598,ASASSN,30,30,0.5100290775299072,0.19325492931699323
ZTF18abxfdtj,DSCT,0.094894,CRTSnorth,30,30,0.5430309772491455,0.18066306950271566
ZTF17aaadnyp,DSCT,0.0482415,ASASSN,30,30,0.4650266170501709,0.05812355893204753
ZTF18aaabrix,DSCT,0.080365,ASASSN,30,30,0.5470314025878906,0.087409972497092
ZTF17aaasjfh,DSCT,0.1040589,ASASSN,30,30,0.4090235233306885,0.10405861825791905
ZTF18absoifw,DSCT,0.0946834,CRTSnorth,30,30,0.4190237522125244,0.14145663383746404
ZTF18aboqubz,DSCT,0.099396,ASASSN,30,30,0.43102455139160156,0.4622711455603979
ZTF18abikbaq,DSCT,0.0719725,CRTSnorth,30,30,0.42002391815185547,3.4438202188065112
ZTF18aaadiae,DSCT,0.0539641,ASASSN,30,30,0.4040229320526123,0.05396379874617865
ZTF17aabwtib,DSCT,0.056895,LINEAR,30,30,0.4190239906311035,0.05084900820758366
ZTF18aboquby,DSCT,0.099396,ASASSN,30,30,0.4090235233306885,1.6609725135449014
ZTF18abcwaqs,DSCT,0.0737739,ASASSN,30,30,0.4060235023498535,0.05385420047086711
ZTF18aauymvh,DSCT,0.122341,CRTSnorth,30,30,0.4280242919921875,1.044278654877913
ZTF17aaarvro,DSCT,0.088579,ASASSN,30,30,0.3840219974517822,0.08135547223081124
ZTF17aaajoeu,DSCT,0.064604,LINEAR,30,30,0.44202542304992676,0.674787895982969
ZTF17aaajsrm,DSCT,0.087473,ASASSN,30,30,0.341019868850708,0.08747379146361771
ZTF18abjqnkm,DSCT,0.0920612,ASASSN,30,30,0.34701967239379883,0.07773203788197379
ZTF17aaarvdi,DSCT,0.1114116,ASASSN,30,30,0.3300187587738037,0.11140998582605513
ZTF18abajthu,DSCT,0.111017,ASASSN,30,30,0.3080174922943115,0.12492230656220601
ZTF17aabwnck,DSCT,0.072405,LINEAR,30,30,0.3220186233520508,0.8269788051075094
ZTF18abcqaqn,DSCT,0.0737739,ASASSN,30,30,0.31001806259155273,0.06427724844720582
ZTF18aaxczoj,DSCT,0.168177,ASASSN,30,30,0.3110177516937256,0.3408821389713166
ZTF18aarmvoq,DSCT,0.052961,LINEAR,30,30,0.3280189037322998,0.20549423051843935
ZTF18aaodwxv,DSCT,0.072691,ASASSN,30,30,0.3170180320739746,0.0784035064561225
ZTF18aaadwtm,DSCT,0.086724,ASASSN,30,30,0.3320190906524658,0.08672462981695006
ZTF18aagrcwn,DSCT,0.06376,LINEAR,30,30,0.32501864433288574,0.09424364629615266
ZTF18aaapqva,DSCT,0.1370743,ASASSN,30,30,0.3280189037322998,0.12051197019048829
ZTF17aaapvwr,DSCT,0.153712,ASASSN,30,30,0.31201791763305664,0.13318407593910575
ZTF18aagwibu,DSCT,0.051296,LINEAR,30,30,0.37502121925354004,0.2507539109884875
ZTF18aaadyuy,DSCT,0.0642803,ASASSN,30,30,0.31801819801330566,0.0642789194497451
