oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdeajl,EB/EW,0.270497,CRTSnorth,50,50,0.7770442962646484,0.4175792422564944
ZTF17aacdvtd,EB/EW,0.29551,CRTSnorth,50,50,0.8460485935211182,0.14775370202330135
ZTF18abcilbv,EB/EW,0.290765,CRTSnorth,50,50,0.7840447425842285,0.20509826262014744
ZTF17aabtlbu,EB/EW,0.35874,CRTSnorth,50,50,0.7900450229644775,0.21869100365327654
ZTF19aamnvdx,EB/EW,0.356434,CRTSnorth,50,50,0.6980397701263428,0.21701027849450708
ZTF17aaahiqe,EB/EW,0.246995,CRTSnorth,50,50,0.6870391368865967,0.14095241121449134
ZTF17aaajrrz,EB/EW,0.472698,CRTSnorth,50,50,0.596034049987793,0.44878433585749483
ZTF18aagrlge,EB/EW,0.350049,CRTSnorth,50,50,0.5960342884063721,0.17502686430751568
ZTF17aacxrxj,EB/EW,0.290429,CRTSnorth,50,50,0.5880334377288818,0.1452147782026774
ZTF19aaesgaz,EB/EW,0.284732,CRTSnorth,50,50,0.8040461540222168,0.14236652861192775
ZTF18aajuyqt,EB/EW,0.257875,CRTSnorth,50,50,0.6930396556854248,0.25787918223211137
ZTF17aadgqqw,EB/EW,0.353393,CRTSnorth,50,50,0.6710383892059326,0.1766953035390166
ZTF17aaaxfed,EB/EW,0.339672,CRTSnorth,50,50,0.606034517288208,0.1698318599081585
ZTF17aaagwgf,EB/EW,0.359827,CRTSnorth,50,50,0.7540431022644043,0.15241629386139385
ZTF18abodrtv,EB/EW,0.344404,CRTSnorth,50,50,0.7590432167053223,0.17220319700040174
ZTF18acbvqwx,EB/EW,0.51168,CRTSnorth,50,50,0.8200469017028809,0.5246716015425754
ZTF18aaaeahe,EB/EW,0.293562,CRTSnorth,50,50,0.7880451679229736,0.17211793897423638
ZTF18adakwwa,EB/EW,0.680986,CRTSnorth,50,50,0.7850449085235596,0.34049143050708663
ZTF18adbaghq,EB/EW,0.3552753,CRTSnorth,50,50,0.7730443477630615,0.17764194913893555
ZTF18aaadsey,EB/EW,0.232682,CRTSnorth,50,50,0.7550430297851562,0.11634222650896663
ZTF18acckyvq,EB/EW,0.397136,CRTSnorth,50,50,0.713040828704834,0.1985703120269116
ZTF18aaacdou,EB/EW,0.23151,CRTSnorth,50,50,0.8540487289428711,0.11575240358762819
ZTF18abcstxs,EB/EW,0.266132,CRTSnorth,50,50,0.7640438079833984,0.15348868119402995
ZTF18abcupjf,EB/EW,0.416778,CRTSnorth,50,50,0.7690439224243164,0.35763802570048997
ZTF17aaaduyn,EB/EW,0.372858,CRTSnorth,50,50,0.7940452098846436,0.22914185686971217
ZTF18aaadsjh,EB/EW,0.63636,ASASSN,50,50,0.8270471096038818,0.31818995050853277
ZTF17aaapnrf,EB/EW,0.358335,CRTSnorth,50,50,0.7810447216033936,0.1791624738775729
ZTF18aajdkhu,EB/EW,0.309511,CRTSnorth,50,50,0.8010458946228027,0.30950310473243553
ZTF18aaavust,EB/EW,0.613267,CRTSnorth,50,50,0.7010400295257568,0.23451944007881953
ZTF17aaatmpt,EB/EW,0.2839813,ASASSN,50,50,0.6640377044677734,0.09952254749188738
ZTF18acrygcx,EB/EW,0.287204,CRTSnorth,50,50,0.6240355968475342,0.2015739592869372
ZTF17aaaxdid,EB/EW,0.245057,CRTSnorth,50,50,0.6480371952056885,0.1967106761177457
ZTF19acauaig,EB/EW,0.395502,CRTSnorth,50,50,0.587033748626709,0.16503177585625922
ZTF18aabisxg,EB/EW,0.43629,CRTSnorth,50,50,0.5420308113098145,0.2181501684572546
ZTF18abumyvd,EB/EW,0.264226,CRTSnorth,50,50,0.7400422096252441,0.1321122971976466
ZTF18aagwxlb,EB/EW,0.297014,CRTSnorth,50,50,0.7690441608428955,0.14850659219518542
ZTF18abbxkof,EB/EW,0.5455989,ASASSN,50,50,0.7650437355041504,0.2727997911965872
ZTF18aaimtnm,EB/EW,0.28334,CRTSnorth,50,50,0.8240470886230469,0.14167062333551958
ZTF18aaavsbv,EB/EW,0.341473,CRTSnorth,50,50,0.8210470676422119,0.17073283471847914
ZTF18aabfwhb,EB/EW,0.37964,ASASSN,50,50,0.7610433101654053,0.18982030837492891
ZTF17aaaekpc,EB/EW,0.259252,CRTSnorth,50,50,0.7800445556640625,0.1296291053903026
ZTF17aabxkcv,EB/EW,0.268038,CRTSnorth,50,50,0.7820446491241455,0.1340198071613402
ZTF19abqkmem,EB/EW,0.3860825,ASASSN,50,50,0.7060403823852539,0.19303342655106318
ZTF17aaadxlq,EB/EW,0.762123,CRTSnorth,50,50,0.6570377349853516,0.38106202666695155
ZTF18aawalmh,EB/EW,0.6720269,ASASSN,50,50,0.6210355758666992,0.33601283169175844
ZTF18abdeisb,EB/EW,0.400962,CRTSnorth,50,50,0.7420423030853271,0.1254214579876891
ZTF17aabggji,EB/EW,0.34633,ASASSN,50,50,0.7850451469421387,0.14754204250459263
ZTF18abceilm,EB/EW,0.316516,CRTSnorth,50,50,0.8210465908050537,0.18811125411546142
ZTF18aaadskw,EB/EW,0.305082,CRTSnorth,50,50,0.7580435276031494,0.13229835751004398
ZTF17aacwwlr,EB/EW,0.426053,CRTSnorth,50,50,0.7960455417633057,0.2708867306940573
ZTF18aaavyjj,EB/EW,0.25172,CRTSnorth,50,50,0.698040246963501,0.12277889083372948
ZTF17aaafibe,EB/EW,0.3669635,ASASSN,50,50,0.7020401954650879,0.22487590304100158
ZTF18acpvmit,EB/EW,1.2628808,ASASSN,50,50,0.7440426349639893,0.6314294924248907
ZTF18acrukkj,EB/EW,0.428888,ASASSN,50,50,0.8180465698242188,0.21444629737891371
ZTF18aaorzrx,EB/EW,0.373506,CRTSsouth,50,50,0.7840447425842285,0.18675313605607302
ZTF18aagrmww,EB/EW,0.2918,CRTSnorth,50,50,0.8470485210418701,0.1709109291397194
ZTF18aabtvpy,EB/EW,0.410646,CRTSnorth,50,50,0.734041690826416,0.41063922391066593
ZTF18acnaivd,EB/EW,0.566458,CRTSnorth,50,50,0.8060460090637207,0.283233293467758
ZTF18abadnca,EB/EW,0.9554343,ASASSN,50,50,0.7660436630249023,11.049847980503934
ZTF18abmohes,EB/EW,0.339066,ASASSN,50,50,0.7520430088043213,0.20426601563313146
ZTF18acueidj,EB/EW,0.40218,CRTSnorth,50,50,0.7320418357849121,0.33667028131727855
ZTF18aajaeui,EB/EW,0.2771871,ASASSN,50,50,0.7740442752838135,0.13859897781985606
ZTF18abcruof,EB/EW,0.306961,ASASSN,50,50,0.6190352439880371,0.4364866435922784
ZTF18aaaeheg,EB/EW,0.335633,ASASSN,50,50,0.6130349636077881,0.1678165440608146
ZTF18aajbhlq,EB/EW,0.476077,CRTSnorth,50,50,0.830047607421875,0.23804828098540187
ZTF18acrcuvj,EB/EW,0.37643,CRTSnorth,50,50,0.7370421886444092,0.43338051108673875
ZTF17aaanqdk,EB/EW,0.3183939,ASASSN,50,50,0.8080461025238037,0.15919295703960332
ZTF18abmjpbp,EB/EW,0.314732,CRTSnorth,50,50,0.7590432167053223,0.15736949976749975
ZTF17aaabmpl,EB/EW,0.38524,CRTSnorth,50,50,0.6540374755859375,0.23872551558555705
ZTF18aaaarlb,EB/EW,0.340916,CRTSnorth,50,50,0.5840334892272949,0.14557860505538264
