oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdeajl,EB/EW,0.270497,CRTSnorth,30,30,0.4320247173309326,0.14062214222452155
ZTF17aacdvtd,EB/EW,0.29551,CRTSnorth,30,30,0.3740215301513672,0.14775370202330135
ZTF18abcilbv,EB/EW,0.290765,CRTSnorth,30,30,0.3670210838317871,0.20509826262014744
ZTF17aabtlbu,EB/EW,0.35874,CRTSnorth,30,30,0.3460197448730469,0.2799160686357576
ZTF19aamnvdx,EB/EW,0.356434,CRTSnorth,30,30,0.3350191116333008,0.21701027849450708
ZTF17aaahiqe,EB/EW,0.246995,CRTSnorth,30,30,0.33101868629455566,0.14095241121449134
ZTF17aaajrrz,EB/EW,0.472698,CRTSnorth,30,30,0.3500196933746338,0.4487609382071171
ZTF18aagrlge,EB/EW,0.350049,CRTSnorth,30,30,0.49602842330932617,0.17502686430751568
ZTF17aacxrxj,EB/EW,0.290429,CRTSnorth,30,30,0.5000286102294922,0.1452147782026774
ZTF19aaesgaz,EB/EW,0.284732,CRTSnorth,30,30,0.4970283508300781,0.14236652861192775
ZTF18aajuyqt,EB/EW,0.257875,CRTSnorth,30,30,0.44402527809143066,0.3864028825292735
ZTF17aadgqqw,EB/EW,0.353393,CRTSnorth,30,30,0.4430253505706787,0.1766953035390166
ZTF17aaaxfed,EB/EW,0.339672,CRTSnorth,30,30,0.4410257339477539,0.1698318599081585
ZTF17aaagwgf,EB/EW,0.359827,CRTSnorth,30,30,0.3980228900909424,0.15241629386139385
ZTF18abodrtv,EB/EW,0.344404,CRTSnorth,30,30,0.39902281761169434,0.17220319700040174
ZTF18acbvqwx,EB/EW,0.51168,CRTSnorth,30,30,0.3910224437713623,0.524698951345035
ZTF18aaaeahe,EB/EW,0.293562,CRTSnorth,30,30,0.3610208034515381,0.17211793897423638
ZTF18adakwwa,EB/EW,0.680986,CRTSnorth,30,30,0.361020565032959,0.34049143050708663
ZTF18adbaghq,EB/EW,0.3552753,CRTSnorth,30,30,0.34401965141296387,0.17763268959647785
ZTF18aaadsey,EB/EW,0.232682,CRTSnorth,30,30,0.3300187587738037,0.13170659059627682
ZTF18acckyvq,EB/EW,0.397136,CRTSnorth,30,30,0.3320188522338867,0.1985703120269116
ZTF18aaacdou,EB/EW,0.23151,CRTSnorth,30,30,0.3300189971923828,0.11575240358762819
ZTF18abcstxs,EB/EW,0.266132,CRTSnorth,30,30,0.4260244369506836,0.11739923746585197
ZTF18abcupjf,EB/EW,0.416778,CRTSnorth,30,30,0.4980285167694092,0.17236485389011832
ZTF17aaaduyn,EB/EW,0.372858,CRTSnorth,30,30,0.49902844429016113,0.22914185686971217
ZTF18aaadsjh,EB/EW,0.63636,ASASSN,30,30,0.5020284652709961,0.31818995050853277
ZTF17aaapnrf,EB/EW,0.358335,CRTSnorth,30,30,0.48302745819091797,0.21828669901998085
ZTF18aajdkhu,EB/EW,0.309511,CRTSnorth,30,30,0.4540259838104248,0.30950310473243553
ZTF18aaavust,EB/EW,0.613267,CRTSnorth,30,30,0.4130234718322754,0.7946697032366568
ZTF17aaatmpt,EB/EW,0.2839813,ASASSN,30,30,0.4040229320526123,0.14198854563411567
ZTF18acrygcx,EB/EW,0.287204,CRTSnorth,30,30,0.4080233573913574,0.11152619954076791
ZTF17aaaxdid,EB/EW,0.245057,CRTSnorth,30,30,0.489027738571167,0.2450614921954612
ZTF19acauaig,EB/EW,0.395502,CRTSnorth,30,30,0.5650324821472168,0.14166323840454342
ZTF18aabisxg,EB/EW,0.43629,CRTSnorth,30,30,0.5390307903289795,0.2792238203981925
ZTF18abumyvd,EB/EW,0.264226,CRTSnorth,30,30,0.4000227451324463,0.1321122971976466
ZTF18aagwxlb,EB/EW,0.297014,CRTSnorth,30,30,0.3980226516723633,0.14850659219518542
ZTF18abbxkof,EB/EW,0.5455989,ASASSN,30,30,0.41802406311035156,0.2727997911965872
ZTF18aaimtnm,EB/EW,0.28334,CRTSnorth,30,30,0.4980282783508301,0.14167062333551958
ZTF18aaavsbv,EB/EW,0.341473,CRTSnorth,30,30,0.4540259838104248,0.17073283471847914
ZTF18aabfwhb,EB/EW,0.37964,ASASSN,30,30,0.49402832984924316,0.18982030837492891
ZTF17aaaekpc,EB/EW,0.259252,CRTSnorth,30,30,0.45502591133117676,0.1489912234356184
