oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdljjw,LPV,228.16,GAIADR2VS,10,10,0.2240128517150879,225.79633074505298
ZTF18aazfbth,LPV,109.89555,ASASSN,10,10,0.21201229095458984,108.70990639213161
ZTF18aawlmoe,LPV,358.3485452,GAIADR2VS,10,10,0.20801186561584473,359.7763948830256
ZTF18aavekqv,LPV,313.872525,GAIADR2VS,10,10,0.24001359939575195,303.9526727002062
ZTF18abdlhcx,LPV,242.7025805,ASASSN,10,10,0.19301128387451172,260.27446757566315
ZTF18abthuog,LPV,214.2038697,ASASSN,10,10,0.18301057815551758,215.89163007052545
ZTF18abeciwa,LPV,309.7112222,ASASSN,10,10,0.20801186561584473,2.9581014088807165
ZTF18acrxooo,LPV,399.202,CRTSnorth,10,10,0.17000961303710938,383.6903337093551
ZTF17aaagsaj,LPV,192.9850894,ASASSN,10,10,0.16000914573669434,183.89226870816498
ZTF18abgygoa,LPV,216.2437963,GAIADR2VS,10,10,0.1630096435546875,0.4041303309502847
ZTF17aaawprx,LPV,47.97,GAIADR2VS,10,10,0.21801233291625977,2.385694474132783
ZTF18abmnsck,LPV,202.5920019,GAIADR2VS,10,10,0.21801233291625977,0.6079317151501374
ZTF18aawkncj,LPV,163.0,GAIADR2VS,10,10,0.19901132583618164,0.4981385700521298
ZTF18acibfvr,LPV,85.4941689,GAIADR2VS,10,10,0.19201111793518066,2.0003472002312583
ZTF17aaaeyya,LPV,136.8711505,GAIADR2VS,10,10,0.19601106643676758,2.962036159847519
ZTF18acbuynw,LPV,462.17,GAIADR2VS,10,10,0.19301128387451172,0.3335260556842342
ZTF18aayocrp,LPV,269.6690845,GAIADR2VS,10,10,0.19301128387451172,266.47991344397303
ZTF17aabrref,LPV,861.1182231,GAIADR2VS,10,10,0.19501137733459473,416.6520779663399
ZTF18aazlugc,LPV,267.241385,GAIADR2VS,10,10,0.1980113983154297,0.9932534509245274
ZTF18abjybdv,LPV,237.2237417,GAIADR2VS,10,10,0.19701123237609863,156.92187983683647
ZTF18aakgski,LPV,209.5394591,GAIADR2VS,10,10,0.19301104545593262,0.3383593260170629
ZTF18aayoibm,LPV,120.0,GAIADR2VS,10,10,0.19901132583618164,380.7217045392261
ZTF18abccxcb,LPV,298.8196905,GAIADR2VS,10,10,0.20801162719726562,270.9694749377275
ZTF17aaawhgd,LPV,358.1430946,GAIADR2VS,10,10,0.21401238441467285,0.8631399289905026
ZTF18abgjkdh,LPV,437.2248956,GAIADR2VS,10,10,0.21201229095458984,302.35656615953354
ZTF18abchurt,LPV,282.9518577,GAIADR2VS,10,10,0.20501160621643066,312.84231268669186
ZTF18abflshp,LPV,292.8955658,GAIADR2VS,10,10,0.20701193809509277,295.2540748579402
ZTF18abmqymr,LPV,231.7976395,GAIADR2VS,10,10,0.22601318359375,0.24927464465819396
