oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
ZTF18abdeyrl,RRL,0.4752162,GAIADR2VS,20,20,0.354020357131958,0.32184332843815444
ZTF18aaoemnc,RRL,0.5934010000000001,LINEAR,20,20,0.5250301361083984,0.5934345530374898
ZTF18abddqtn,RRL,0.626065,LINEAR,20,20,0.4410252571105957,0.6260380276358316
ZTF18acrygnp,RRL,0.708755,LINEAR,20,20,0.3460197448730469,0.7087321774339616
ZTF18aabasna,RRL,0.399636,CRTSnorth,20,20,0.2930164337158203,0.3996574965708333
ZTF18abbwgvd,RRL,0.576689,ASASSN,20,20,0.2870163917541504,0.5766919186956881
ZTF18aabhkoz,RRL,0.33383,CRTSnorth,20,20,0.2690155506134033,0.3338304152579865
ZTF18abjhvuc,RRL,0.272071,CRTSnorth,20,20,0.2760157585144043,0.272068407050483
ZTF17aaajahq,RRL,0.5326960000000001,LINEAR,20,20,0.28101611137390137,0.3472219962838372
ZTF18abcxivv,RRL,0.61552,ASASSN,20,20,0.241013765335083,0.6155852883896206
ZTF18aazgeoe,RRL,0.712364,LINEAR,20,20,0.2610146999359131,0.7123621003459472
ZTF18abxnnxr,RRL,0.357637,CRTSnorth,20,20,0.2390139102935791,0.35767531511803946
ZTF18abginjf,RRL,0.45482,ASASSN,20,20,0.25301456451416016,0.4548016362661477
ZTF18aaavvzf,RRL,0.550248,LINEAR,20,20,0.21601223945617676,0.5502750781783295
ZTF18aaaufty,RRL,0.62247,LINEAR,20,20,0.22301244735717773,0.62242602846711
ZTF18adalcij,RRL,0.6070224,GAIADR2VS,20,20,0.20901179313659668,0.6069975525980855
ZTF18aabpxgl,RRL,0.5922,ASASSN,20,20,0.20301175117492676,0.5921521216295296
ZTF19abmyimo,RRL,0.6911464,GAIADR2VS,20,20,0.1980113983154297,0.6910923217798461
ZTF18aaxmitn,RRL,0.3626436,CRTSnorth,20,20,0.23101329803466797,0.3626316724543961
ZTF18acyevoe,RRL,0.6122850000000001,LINEAR,20,20,0.19601106643676758,0.612336766242073
ZTF18acwzcdx,RRL,0.6181564,CRTSnorth,20,20,0.18801116943359375,1.6258919073375857
ZTF17aackjce,RRL,0.5845666,CRTSnorth,20,20,0.19601082801818848,0.5845309139116248
ZTF18acvgzsb,RRL,0.6914785,ASASSN,20,20,0.18301057815551758,0.46543874031610133
ZTF17aaajhdq,RRL,0.556607,LINEAR,20,20,0.18201041221618652,0.5565786247151835
ZTF18aaactnp,RRL,0.647415,CRTSnorth,20,20,0.19501113891601562,0.6474621116483128
ZTF17aacloxd,RRL,0.5843403,GAIADR2VS,20,20,0.1890110969543457,0.5843480550824233
ZTF18aaoelut,RRL,0.696965,LINEAR,20,20,0.21001195907592773,0.6970077281526651
ZTF18abjrfio,RRL,0.2482016,ASASSN,20,20,0.1980113983154297,0.33048002568538215
ZTF17aacnrpn,RRL,0.3595219,CRTSnorth,20,20,0.19501113891601562,0.562235873471109
ZTF18aajpijx,RRL,0.55812,LINEAR,20,20,0.2580146789550781,0.12882073934796004
ZTF18abfnnjp,RRL,0.6455122,GAIADR2VS,20,20,0.1870107650756836,1.8301813190034464
ZTF18aaxmnik,RRL,0.2988912,CRTSnorth,20,20,0.18601059913635254,0.7446362494055715
ZTF18aaarlhj,RRL,0.595732,CRTSnorth,20,20,0.3760216236114502,0.5956815730516075
ZTF18aaandqb,RRL,0.664704,LINEAR,20,20,0.3690211772918701,0.6647156040848313
ZTF18abpbnxu,RRL,0.57586,GAIADR2VS,20,20,0.350020170211792,1.3627738839477759
ZTF18abcryqo,RRL,0.268618,CRTSnorth,20,20,0.359020471572876,0.2686157606207539
ZTF18aaswimr,RRL,0.573562,LINEAR,20,20,0.34001946449279785,0.573529058469811
ZTF18acuepty,RRL,0.4480905,CRTSnorth,20,20,0.3650209903717041,0.44804800327067057
ZTF18abeairt,RRL,0.3234308,CRTSnorth,20,20,0.3580203056335449,0.3234326568509166
ZTF17aabxpgx,RRL,0.3074816,CRTSnorth,20,20,0.33101892471313477,0.3074848930916166
ZTF18abtlrbk,RRL,0.362242,CRTSnorth,20,20,0.3190181255340576,0.36223491774329736
ZTF18aczeawm,RRL,0.5233353,GAIADR2VS,20,20,0.31001782417297363,0.5233740590569351
ZTF18abjtjsp,RRL,0.65168,GAIADR2VS,20,20,0.3000171184539795,0.6516778404995225
ZTF18abtwmdy,RRL,0.3609489,CRTSnorth,20,20,0.2910165786743164,0.3609625659108864
ZTF18abespeg,RRL,0.270907,CRTSnorth,20,20,0.29201674461364746,0.27091497491777955
ZTF18abcedau,RRL,0.554372,LINEAR,20,20,0.27301549911499023,0.5543490403068398
ZTF18aakzpgv,RRL,0.592055,CRTSnorth,20,20,0.27101564407348633,0.5920903868472202
ZTF17aacnjwf,RRL,0.490411,LINEAR,20,20,0.3740212917327881,1.0408818715152035
ZTF18ablhpir,RRL,0.7068877,GAIADR2VS,20,20,0.363020658493042,0.7069057404993038
ZTF17aadcvhp,RRL,0.5739,ASASSN,20,20,0.3840219974517822,0.5739179172062051
ZTF18abmefto,RRL,0.599825,GAIADR2VS,20,20,0.3740215301513672,0.599825863437232
ZTF18aayhuka,RRL,0.5213,GAIADR2VS,20,20,0.34701967239379883,0.5213454887112946
ZTF18abobphl,RRL,0.49038,GAIADR2VS,20,20,0.3350191116333008,0.9648534802069529
ZTF18aainbvb,RRL,0.5923015,CRTSnorth,20,20,0.356020450592041,0.5922756298231653
ZTF19aahjdtk,RRL,0.3906462,ASASSN,20,20,0.3720211982727051,0.2807271140435342
ZTF18aaaopdk,RRL,0.480425,LINEAR,20,20,0.5240299701690674,0.4804393532891127
ZTF18aagrpik,RRL,0.5252593,CRTSnorth,20,20,0.35302019119262695,0.525273658085734
ZTF18aaabpbc,RRL,0.523809,LINEAR,20,20,0.463026762008667,0.3434237620623472
ZTF18aaxnnwz,RRL,0.596074,LINEAR,20,20,0.3190183639526367,0.5960698664188557
ZTF18acxattz,RRL,0.577747,LINEAR,20,20,0.3690211772918701,0.577775187745134
ZTF18aavjmxq,RRL,0.279027,LINEAR,20,20,0.3670206069946289,0.2790273902902502
ZTF18adbioot,RRL,0.5906316,GAIADR2VS,20,20,0.3560206890106201,0.5906261139000761
ZTF18aajuwpp,RRL,0.5579168,ASASSN,20,20,0.367020845413208,0.557900320653752
ZTF18aajsrxq,RRL,0.3797072,CRTSnorth,20,20,0.3740215301513672,0.3796641686356731
ZTF17aaaorpp,RRL,0.4799016,ASASSN,20,20,0.36602091789245605,0.4799261529270731
ZTF18acwzawp,RRL,0.560657,LINEAR,20,20,0.35302019119262695,0.5606700288478559
ZTF18abjkrmu,RRL,0.65868,GAIADR2VS,20,20,0.32301807403564453,0.6586278323479504
ZTF18aagrjqm,RRL,0.324005,CRTSnorth,20,20,0.3210184574127197,0.2869186903736353
ZTF18aaiyogl,RRL,0.527439,LINEAR,20,20,0.346019983291626,9.363107819025522
ZTF18aakynps,RRL,0.4881443,GAIADR2VS,20,20,0.3650209903717041,0.4881771622375657
ZTF18aaauysz,RRL,0.589796,LINEAR,20,20,0.37702178955078125,0.14194413661335073
ZTF18abtznig,RRL,0.52525,GAIADR2VS,20,20,0.37502145767211914,0.5252462754722046
ZTF18abuiylf,RRL,0.356022,CRTSnorth,20,20,0.37302112579345703,0.35601045873667847
ZTF17aaaopmb,RRL,0.6222,ASASSN,20,20,0.3760216236114502,0.6221827267732523
ZTF18acusnge,RRL,0.348041,CRTSnorth,20,20,0.361020565032959,0.3480465335121153
ZTF18aabeygz,RRL,0.323198,CRTSnorth,20,20,0.34901976585388184,0.2442516314884064
ZTF17aaclcto,RRL,0.49917,LINEAR,20,20,0.37702155113220215,0.4991523294379971
ZTF18adbinxt,RRL,0.6556336,GAIADR2VS,20,20,0.37902140617370605,0.6556475026540127
ZTF18aaxmiws,RRL,0.5817934,GAIADR2VS,20,20,0.36602091789245605,0.5817948993896591
ZTF18aabpwsv,RRL,0.36431,LINEAR,20,20,0.3800220489501953,0.364308505928208
ZTF18acrygyi,RRL,0.357881,CRTSnorth,20,20,0.36402106285095215,0.2633883075681778
ZTF17aabwwih,RRL,0.5259159,GAIADR2VS,20,20,0.3670210838317871,0.5259449461298489
ZTF18abadjkk,RRL,0.3778755,CRTSnorth,20,20,0.36802101135253906,0.6085024134133021
ZTF18aagtegz,RRL,0.543355,LINEAR,20,20,0.36202073097229004,3.7830006985106346
ZTF17aabrxgf,RRL,0.5208027,GAIADR2VS,20,20,0.3670210838317871,0.5206664477756342
ZTF18aaptdbi,RRL,0.55194,GAIADR2VS,20,20,0.38102149963378906,0.5518262655469219
ZTF17aabxihf,RRL,0.550137,CRTSnorth,20,20,0.3740215301513672,0.5501316858426217
ZTF18aabvkjy,RRL,0.394852,CRTSnorth,20,20,0.36602091789245605,0.39485319097235977
ZTF18abajxjv,RRL,0.5871654,GAIADR2VS,20,20,0.36002063751220703,0.5871419915051488
ZTF17aabwlxc,RRL,0.458464,LINEAR,20,20,0.3630208969116211,0.8485072175526034
ZTF18aagrilj,RRL,0.2691344,CRTSnorth,20,20,0.3650209903717041,0.269134358471459
ZTF19aahsacu,RRL,0.5315512,ASASSN,20,20,0.365020751953125,1.1383724567010822
ZTF18aanwicl,RRL,0.36206,ASASSN,20,20,0.365020751953125,0.36207444682260953
ZTF18aajlfea,RRL,0.372284,LINEAR,20,20,0.40102291107177734,0.3722756257660158
ZTF18abmotmu,RRL,0.282596,CRTSnorth,20,20,0.363020658493042,0.6509818028032447
ZTF18acqktlo,RRL,0.2866517,CRTSnorth,20,20,0.3720211982727051,0.28664959617002855
ZTF18abdjpfg,RRL,0.59664,GAIADR2VS,20,20,0.358020544052124,0.5965983204356958
ZTF18abmrdxk,RRL,0.55986,ASASSN,20,20,0.3370192050933838,0.5598084958290398
ZTF17aacicys,RRL,0.5908443,GAIADR2VS,20,20,0.34401988983154297,0.5908262836684325
ZTF18aacdbbt,RRL,0.772251,LINEAR,20,20,0.3850219249725342,0.7723100201239018
