,oid,classALeRCE,period,source,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time,MHAOV_T
0,ZTF18aajaknt,RRL,0.3210155,CRTSnorth,31,29,,
1,ZTF19aaejpta,RRL,0.3307685,CRTSnorth,35,25,0.5400309562683105,0.3307557731831758
2,ZTF18aaqnqsu,RRL,0.611462,LINEAR,28,32,0.4760270118713379,0.6114755947796023
3,ZTF18aaybscb,RRL,0.646457,LINEAR,27,33,0.46202635765075684,0.6463997977951251
4,ZTF18abkeqiu,RRL,0.52843,ASASSN,34,26,0.42902445793151855,0.528404488478453
5,ZTF17aaatlsp,RRL,0.454224,CRTSnorth,35,25,0.4370248317718506,0.45423299339200723
6,ZTF18abrymmo,RRL,0.324116,CRTSnorth,32,28,,
7,ZTF17aacksni,RRL,0.4614058,GAIADR2VS,29,31,0.41802406311035156,0.8589207961338369
8,ZTF18aavcmhz,RRL,0.5744205,CRTSnorth,27,33,0.3930225372314453,0.5744117055736297
9,ZTF17aabvalz,RRL,0.701453,GAIADR2VS,33,27,0.4340248107910156,0.7014729034112697
10,ZTF17aaageae,RRL,0.8187737,ASASSN,40,20,,
11,ZTF18aavoopc,RRL,0.681297,LINEAR,30,30,0.33101892471313477,2.1500546213021257
12,ZTF18adbijsh,RRL,0.3498051,CRTSnorth,35,25,0.4890282154083252,0.34981088946002964
13,ZTF19aaaqlnt,RRL,0.602538,CRTSsouth,33,27,0.32001805305480957,0.6025366749811475
14,ZTF18abrrnrj,RRL,0.47305,ASASSN,36,24,0.3300189971923828,0.4730582956447616
15,ZTF19acaqvrw,RRL,0.352036,CRTSnorth,31,29,0.4500257968902588,0.35215280379513353
16,ZTF18aagtefw,RRL,0.3590813,CRTSnorth,41,19,0.5410311222076416,0.35907644104525405
17,ZTF18acwyzmt,RRL,0.5822749,GAIADR2VS,35,25,,
18,ZTF19aabztxf,RRL,0.4955803,ASASSN,27,33,,
19,ZTF17aabxlmp,RRL,0.5871149,CRTSnorth,41,19,0.5010285377502441,0.5870960125678465
20,ZTF19abljqsb,RRL,0.50223,GAIADR2VS,31,29,0.5290305614471436,0.5022452763783323
21,ZTF18aabpzhx,RRL,0.560438,LINEAR,36,24,0.5600318908691406,1.279370504568385
22,ZTF18acslrdt,RRL,0.369545,CRTSnorth,27,33,0.5470314025878906,0.15588758734297248
