oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18aaabbyh,DSCT,0.0915922,ASASSN,50,50,0.4470255374908447,0.5000283718109131,0.2004579771244893,0.08390744329975698,50,50,0.42002391815185547,0.3590207099914551,0.18318564116943348,0.18318564116943348,50,50,0.31201791763305664,0.2690153121948242,0.18319039345679125,0.2017053547084878,50,50,0.41002345085144043,0.35301995277404785,0.2004579771244893,1.0531073459716032,50,50,1.78910231590271,1.5880908966064453,0.08390744329975698,0.08388994776927744,50,50,2.1801247596740723,1.9611120223999023,0.385577912482764,0.08388994776927744,50,50,1.9341106414794922,1.9801132678985596,0.18318564116943348,0.08388994776927744
ZTF18abnjsfs,DSCT,0.0806261,ASASSN,50,50,0.5290303230285645,0.476027250289917,0.08771808338521332,1.4290524513886385,50,50,0.3390192985534668,0.31401801109313965,0.09615168410459361,2.8576863095291407,50,50,0.2930169105529785,0.2670154571533203,0.09617926340837069,0.2630864158244011,50,50,0.31401824951171875,0.30701756477355957,0.09617926340837069,1.4289779546184553,50,50,1.5250873565673828,2.0541176795959473,0.08771808338521332,0.08771808338521332,50,50,1.9641122817993164,1.6580946445465088,0.08771808338521332,0.08771808338521332,50,50,1.9851136207580566,1.8571062088012695,0.08771808338521332,0.08771808338521332
ZTF18acrupio,DSCT,0.111154,ASASSN,50,50,0.471027135848999,0.5030286312103271,0.11115184392932015,0.166913556348132,50,50,0.31201791763305664,0.2850162982940674,0.333456490450634,0.5557813185289071,50,50,0.2520146369934082,0.24001383781433105,0.1250949894594296,47.98737810618917,50,50,0.31601810455322266,0.28801631927490234,0.11115184392932015,0.166913556348132,50,50,1.9311103820800781,2.0811190605163574,0.11115184392932015,0.166913556348132,50,50,1.7671012878417969,1.802103042602539,0.11115184392932015,0.09091641770279126,50,50,1.548088550567627,1.9291102886199951,0.11115184392932015,0.09091641770279126
ZTF18abokdrv,DSCT,0.1719814,ASASSN,50,50,0.4930284023284912,0.4470255374908447,0.20782655319673868,0.14667932651162638,50,50,0.27901625633239746,0.27701544761657715,0.5159517463108728,0.5159382354155541,50,50,0.24401402473449707,0.24001359939575195,0.687911378495127,0.8291803994874986,50,50,0.40702319145202637,0.38102173805236816,0.20782655319673868,0.14667932651162638,50,50,1.8111035823822021,2.1821248531341553,0.20782655319673868,0.14667932651162638,50,50,1.8871078491210938,1.6220927238464355,0.20782655319673868,0.08599309387493934,50,50,1.8701069355010986,1.4950854778289795,0.20782655319673868,0.20782655319673868
ZTF18aagrkrh,DSCT,0.0887916,CRTSnorth,50,50,0.4500260353088379,0.41802382469177246,0.9209918170450296,0.07008715356482531,50,50,0.28801655769348145,0.28101611137390137,0.16306068869082718,0.16306068869082718,50,50,0.2260129451751709,0.22001266479492188,0.16306068869082718,0.16306068869082718,50,50,0.3480198383331299,0.34201955795288086,0.9209918170450296,0.10799338586487381,50,50,1.8701071739196777,2.1111209392547607,1.0905383660228594,0.07008715356482531,50,50,1.437082052230835,1.2490713596343994,1.0905383660228594,0.10799338586487381,50,50,1.431082010269165,1.8811078071594238,1.0905383660228594,0.07008715356482531
ZTF18aaiwqwc,DSCT,0.059257,LINEAR,50,50,0.40702295303344727,0.42702460289001465,0.059255500813297834,0.06723492567123461,50,50,0.26401519775390625,0.26001524925231934,0.059255500813297834,6.8486834302009845,50,50,0.22301292419433594,0.22001266479492188,0.059255500813297834,6.845649577568093,50,50,0.34901976585388184,0.3410196304321289,0.059255500813297834,0.06723492567123461,50,50,1.9991145133972168,2.2221271991729736,0.059255500813297834,0.059255500813297834,50,50,1.1530661582946777,1.0900623798370361,0.059255500813297834,0.059255500813297834,50,50,2.0081145763397217,2.04111647605896,0.059255500813297834,0.059255500813297834
ZTF18aaaakyv,DSCT,0.064343,ASASSN,50,50,0.5100290775299072,0.5040290355682373,1.4507822788138367,0.06044414414176815,50,50,0.2630152702331543,0.2580146789550781,12.084164384481666,0.12868650384355487,50,50,0.22701287269592285,0.22001242637634277,12.098660686321292,0.12868650384355487,50,50,0.3300189971923828,0.2980170249938965,1.4507822788138367,0.06044414414176815,50,50,1.9971144199371338,2.16512393951416,0.06878055060931791,0.06878055060931791,50,50,1.073061466217041,2.2151269912719727,0.0687697962231284,0.06878055060931791,50,50,1.921109914779663,1.9841134548187256,0.0687697962231284,0.06878055060931791
ZTF17aaaoujw,DSCT,0.1040589,ASASSN,50,50,0.46402645111083984,0.41802406311035156,0.10405861825791905,0.10405861825791905,50,50,0.2610146999359131,0.2590150833129883,0.10405861825791905,0.10405861825791905,50,50,0.22201299667358398,0.22101283073425293,0.10405861825791905,0.10405861825791905,50,50,0.28101611137390137,0.27301549911499023,0.10405861825791905,0.10405861825791905,50,50,1.7961030006408691,1.91910982131958,0.10405861825791905,0.10405861825791905,50,50,1.6690952777862549,1.7821018695831299,0.10405861825791905,0.10405861825791905,50,50,2.0001144409179688,1.9521114826202393,0.10405861825791905,0.10405861825791905
ZTF18aaadnum,DSCT,0.0558111,ASASSN,50,50,0.4240243434906006,0.5050289630889893,0.055810538369940633,0.0558119862329622,50,50,0.2670149803161621,0.24901413917541504,0.055810538369940633,0.0558119862329622,50,50,0.22201251983642578,0.22001242637634277,0.055810538369940633,0.0558119862329622,50,50,0.26601529121398926,0.25501465797424316,0.055810538369940633,0.0558119862329622,50,50,1.812103271484375,2.1081204414367676,0.055810538369940633,0.055810538369940633,50,50,1.8351047039031982,1.9941141605377197,0.0558119862329622,0.055810538369940633,50,50,1.916109561920166,1.8031032085418701,0.0558119862329622,0.055810538369940633
ZTF18aabkonv,DSCT,0.04893,LINEAR,50,50,0.493027925491333,0.5060286521911621,0.15868340955431115,0.07734601639399628,50,50,0.24301385879516602,0.24301385879516602,0.0978608541248249,0.0978608541248249,50,50,0.239013671875,0.22001266479492188,0.0978608541248249,0.0978608541248249,50,50,0.27101564407348633,0.24401378631591797,0.15868340955431115,0.25600401165296655,50,50,1.9351105690002441,2.0631182193756104,0.0978608541248249,0.0978608541248249,50,50,2.023115873336792,1.8901081085205078,0.0978608541248249,0.5254242830024041,50,50,1.8651068210601807,1.8731071949005127,0.0978608541248249,0.5254242830024041
