oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18abdeajl,EB/EW,0.270497,CRTSnorth,50,50,0.24601411819458008,0.23601365089416504,0.3136529249411495,0.4175792422564944,50,50,0.18401074409484863,0.1670093536376953,0.27049868116123255,0.27049166394030444,50,50,0.13600778579711914,0.11600661277770996,0.27049166394030444,0.27049868116123255,50,50,0.17501020431518555,0.16000914573669434,0.31366113858290806,0.4175792422564944,50,50,1.0120580196380615,0.7920451164245605,0.5195819024840354,0.0806313782647239,50,50,1.0200579166412354,0.8070461750030518,0.22576272470819436,0.27049868116123255,50,50,1.0270586013793945,0.7850446701049805,0.2257568128054589,0.0806313782647239
ZTF17aacdvtd,EB/EW,0.29551,CRTSnorth,50,50,0.19201087951660156,0.19201111793518066,0.14775757125543795,0.14775370202330135,50,50,0.16900968551635742,0.16600966453552246,0.12868650384355487,0.14775370202330135,50,50,0.11700654029846191,0.11100625991821289,0.14775370202330135,0.14775757125543795,50,50,0.15600895881652832,0.1500084400177002,0.14775757125543795,0.14775370202330135,50,50,0.7910454273223877,0.7730441093444824,0.14775370202330135,0.14775370202330135,50,50,0.7780447006225586,0.7770442962646484,0.14775370202330135,0.14775370202330135,50,50,0.7970454692840576,0.7740445137023926,0.14775370202330135,0.14775370202330135
ZTF18abcilbv,EB/EW,0.290765,CRTSnorth,50,50,0.2040116786956787,0.20101141929626465,0.20509826262014744,0.20509826262014744,50,50,0.16900968551635742,0.1650094985961914,0.2907656985663305,0.2907656985663305,50,50,0.12100696563720703,0.11900687217712402,0.2907733128593716,0.2907656985663305,50,50,0.15100884437561035,0.14900827407836914,0.20509826262014744,0.20509826262014744,50,50,0.7830448150634766,0.7730443477630615,0.1701952308327349,0.20509826262014744,50,50,0.8020460605621338,0.7710440158843994,0.1701952308327349,0.20509826262014744,50,50,0.7800445556640625,0.7790446281433105,0.1701952308327349,0.20509826262014744
ZTF17aabtlbu,EB/EW,0.35874,CRTSnorth,50,50,0.19901132583618164,0.20101141929626465,0.21870240286750073,0.2799160686357576,50,50,0.17100977897644043,0.16000890731811523,0.35872097064067626,0.35873967180651534,50,50,0.12100672721862793,0.1130061149597168,0.35872097064067626,0.35872097064067626,50,50,0.15300869941711426,0.1540086269378662,0.21869100365327654,0.2799160686357576,50,50,0.8010458946228027,0.8050456047058105,0.2799160686357576,0.21869100365327654,50,50,0.7810447216033936,0.8030457496643066,0.21869100365327654,0.21869100365327654,50,50,0.8010456562042236,0.8030457496643066,0.21869100365327654,0.21869100365327654
ZTF19aamnvdx,EB/EW,0.356434,CRTSnorth,50,50,0.19301104545593262,0.19601130485534668,0.17811949653316983,0.21701027849450708,50,50,0.16600966453552246,0.16200947761535645,0.35643755619342005,0.21702159246030064,50,50,0.11700654029846191,0.11400651931762695,0.35643755619342005,0.21701027849450708,50,50,0.15600895881652832,0.1540088653564453,0.17811949653316983,0.21701027849450708,50,50,0.7790446281433105,0.7760443687438965,0.17811021016247383,0.21701027849450708,50,50,0.7710440158843994,0.7640435695648193,0.21701027849450708,0.21702159246030064,50,50,0.7850446701049805,0.8610491752624512,0.17811021016247383,0.21701027849450708
ZTF17aaahiqe,EB/EW,0.246995,CRTSnorth,50,50,0.20301175117492676,0.20101141929626465,0.14095241121449134,0.14095241121449134,50,50,0.16700959205627441,0.16700959205627441,0.10988726191883176,0.14095241121449134,50,50,0.11700677871704102,0.11800694465637207,0.14095241121449134,0.4395577625761277,50,50,0.15100884437561035,0.14700818061828613,0.14095241121449134,0.14095241121449134,50,50,0.7970457077026367,0.7880449295043945,0.12349782370012635,0.14095241121449134,50,50,0.7910451889038086,0.7690441608428955,0.10988726191883176,0.14095241121449134,50,50,0.7980458736419678,0.7980453968048096,0.10988726191883176,0.14095241121449134
ZTF17aaajrrz,EB/EW,0.472698,CRTSnorth,50,50,0.20301175117492676,0.2000114917755127,0.1910662152946941,0.44878433585749483,50,50,0.16400957107543945,0.15800905227661133,0.7090832454684034,0.7090462827537568,50,50,0.12000679969787598,0.11600661277770996,0.1910662152946941,0.8975542519818315,50,50,0.14700841903686523,0.14500856399536133,0.1910662152946941,0.44878433585749483,50,50,0.844048261642456,1.1460654735565186,0.30976135950907246,0.44878433585749483,50,50,0.8030459880828857,0.9470541477203369,0.1910662152946941,0.44878433585749483,50,50,0.8010458946228027,0.9560546875,0.1910662152946941,0.44878433585749483
ZTF18aagrlge,EB/EW,0.350049,CRTSnorth,50,50,0.19801115989685059,0.19901156425476074,0.17502686430751568,0.17502686430751568,50,50,0.1610090732574463,0.16200923919677734,0.17502686430751568,0.17502686430751568,50,50,0.1240072250366211,0.11600661277770996,0.17502686430751568,0.17502686430751568,50,50,0.15500903129577637,0.1520087718963623,0.17502686430751568,0.17502686430751568,50,50,1.1480653285980225,0.8200466632843018,0.17502686430751568,0.17502686430751568,50,50,0.8010458946228027,0.7890450954437256,0.17502686430751568,0.17502686430751568,50,50,0.7860448360443115,0.7900452613830566,0.17502686430751568,0.17502686430751568
ZTF17aacxrxj,EB/EW,0.290429,CRTSnorth,50,50,0.19901156425476074,0.19701123237609863,0.1452147782026774,0.1452147782026774,50,50,0.16800951957702637,0.15700888633728027,0.14521858094791382,0.1452147782026774,50,50,0.1240072250366211,0.12100696563720703,0.1452147782026774,0.1452147782026774,50,50,0.14700841903686523,0.1500086784362793,0.1452147782026774,0.1452147782026774,50,50,0.7950453758239746,1.0920624732971191,0.1452147782026774,0.1452147782026774,50,50,0.7910454273223877,1.085062026977539,0.1452147782026774,0.1452147782026774,50,50,0.7960453033447266,1.1100635528564453,0.1452147782026774,0.1452147782026774
ZTF19aaesgaz,EB/EW,0.284732,CRTSnorth,50,50,0.19401097297668457,0.2000114917755127,0.14236652861192775,0.14236652861192775,50,50,0.1610090732574463,0.1630091667175293,0.14236652861192775,0.16607603722757172,50,50,0.12100672721862793,0.11600661277770996,0.1423702567699376,0.14236652861192775,50,50,0.14900875091552734,0.14600801467895508,0.14236652861192775,0.14236652861192775,50,50,0.7950456142425537,0.7780447006225586,0.14236652861192775,0.14236652861192775,50,50,0.7940454483032227,0.7850449085235596,0.14236652861192775,0.14236652861192775,50,50,0.7820446491241455,0.7730441093444824,0.14236652861192775,0.14236652861192775
