oid,classALeRCE,period,source,LS_samples_g,LS_samples_r,LS_time_g,LS_time_r,LS_T_g,LS_T_r,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
ZTF18abdljjw,LPV,228.16,GAIADR2VS,40,40,0.19801092147827148,0.16600966453552246,113.36589293758331,226.20867610113683,40,40,0.1410081386566162,0.13100743293762207,226.0142176460158,225.67868402716738,40,40,0.1130063533782959,0.09400534629821777,112.76472309234975,224.73947612883055,40,40,0.14200830459594727,0.12000679969787598,113.38362229285904,226.23225947247926,40,40,0.5520315170288086,0.5160295963287354,112.91764945039375,113.10028409467346,40,40,0.5420310497283936,0.5260300636291504,113.16514280315873,112.50929786603506,40,40,0.5430309772491455,0.5160293579101562,112.79116778565125,112.92353525481312
ZTF18aazfbth,LPV,109.89555,ASASSN,40,40,0.16200923919677734,0.15800905227661133,109.36355984253832,108.03481722942404,40,40,0.13400769233703613,0.13000726699829102,110.26516323782504,107.10399367844354,40,40,0.10100603103637695,0.09900569915771484,108.98226983009104,107.34433060383103,40,40,0.12700724601745605,0.126007080078125,109.35502176082761,108.02918447339083,40,40,0.5150294303894043,0.5060286521911621,0.9909261725486338,53.782267963446365,40,40,0.5170297622680664,0.5200295448303223,0.4970491411833972,53.99153632056138,40,40,0.5210299491882324,0.49402832984924316,0.49702323667122056,53.94933537874894
ZTF18aawlmoe,LPV,358.3485452,GAIADR2VS,40,40,0.15500879287719727,0.16200923919677734,370.7236073463216,371.3425388945593,40,40,0.13200783729553223,0.12700724601745605,358.0457997022512,369.35406590190917,40,40,0.10100579261779785,0.09200501441955566,736.0055261095616,374.9215233669992,40,40,0.13200736045837402,0.12700724601745605,370.7429362598097,371.4103362169384,40,40,0.5270299911499023,0.5180296897888184,0.9945227634808945,1.0026171850759744,40,40,0.5180294513702393,0.5260300636291504,0.9945746135435044,1.0026171850759744,40,40,0.5140292644500732,0.5130293369293213,369.5466289470379,0.9948079479862849
ZTF18aavekqv,LPV,313.872525,GAIADR2VS,40,40,0.1630091667175293,0.16200900077819824,310.7375179652187,307.17021813700103,40,40,0.13400769233703613,0.1280074119567871,304.0636405288414,303.8814005665267,40,40,0.1020057201385498,0.09800553321838379,308.7676228105625,302.5615670928272,40,40,0.12700724601745605,0.11600637435913086,310.7375179652187,307.20223881051834,40,40,0.5230298042297363,0.5950338840484619,303.01140832603295,0.9938231304284457,40,40,0.5240299701690674,0.598034143447876,300.61995939714217,0.99387493321217,40,40,0.5090291500091553,0.5720329284667969,304.10323460605144,0.9938231304284457
ZTF18abdlhcx,LPV,242.7025805,ASASSN,40,40,0.1630094051361084,0.16000914573669434,261.31444494305623,261.0489825021747,40,40,0.12900757789611816,0.12500691413879395,257.581716872132,258.34821881284194,40,40,0.10100603103637695,0.09400510787963867,273.4954678707163,129.6011253987479,40,40,0.1260073184967041,0.11900687217712402,261.3008232825204,261.08297536482286,40,40,0.5020287036895752,0.5000286102294922,265.56465740804896,130.67296048458743,40,40,0.5230300426483154,0.5150294303894043,265.3294172686776,130.30904916477874,40,40,0.5000283718109131,0.49902868270874023,264.1770118429015,130.0986257601769
ZTF18abthuog,LPV,214.2038697,ASASSN,40,40,0.1630091667175293,0.16200947761535645,217.25202146844828,215.8578648978063,40,40,0.13400745391845703,0.13100743293762207,217.07655872279838,215.37455572600885,40,40,0.10100579261779785,0.09000515937805176,212.87428015945892,213.54671034347547,40,40,0.12700748443603516,0.11900663375854492,217.27467578797297,215.88037383931237,40,40,0.5250298976898193,0.5190296173095703,215.48124076777074,214.9483434965393,40,40,0.5230300426483154,0.5180294513702393,215.36333113604564,214.1375364190643,40,40,0.5230300426483154,0.5090291500091553,215.30158761994923,214.68518415440997
ZTF18abeciwa,LPV,309.7112222,ASASSN,40,40,0.1610093116760254,0.1610090732574463,304.57124696462057,312.38601886347266,40,40,0.13400769233703613,0.128007173538208,157.2904368211736,649.316348705237,40,40,0.09900569915771484,0.09900569915771484,157.00371038755475,291.089602877127,40,40,0.1240072250366211,0.11900663375854492,304.6109419170749,312.34530477155613,40,40,0.5230300426483154,0.5070290565490723,156.71342959196113,1.007804793195121,40,40,0.5330302715301514,0.5770330429077148,155.4968617761179,71.97492678080792,40,40,0.5190296173095703,0.5030291080474854,155.8051901077302,1.007804793195121
ZTF18acrxooo,LPV,399.202,CRTSnorth,40,40,0.15900921821594238,0.16000914573669434,386.96441962224065,378.53492171435704,40,40,0.13200759887695312,0.13100743293762207,389.8801644050846,188.01181833967212,40,40,0.1000058650970459,0.09700560569763184,390.79577323993436,187.0586824323478,40,40,0.13100743293762207,0.12700748443603516,387.0047646766292,378.623723617285,40,40,0.5460312366485596,0.5170295238494873,1.0025387793223264,0.9946264690128669,40,40,0.5670325756072998,0.5280301570892334,1.002669440799979,189.57168463548575,40,40,0.5330305099487305,0.5020287036895752,1.0026171850759744,0.9946783298898273
ZTF17aaagsaj,LPV,192.9850894,ASASSN,40,40,0.16200923919677734,0.16200947761535645,187.76695855317914,186.00849740601112,40,40,0.13400745391845703,0.12500739097595215,750.2022674437467,188.98953499411334,40,40,0.10100579261779785,0.09100508689880371,188.2619043177124,187.99713452161316,40,40,0.12500739097595215,0.12200689315795898,187.77674534910236,186.02788869942543,40,40,0.5180294513702393,0.5160293579101562,187.84528149702305,186.6203736242303,40,40,0.5220298767089844,0.5330305099487305,187.60063248430208,186.96606943607887,40,40,0.5170295238494873,0.5030286312103271,187.8159027370769,186.80530292902165
ZTF18abgygoa,LPV,216.2437963,GAIADR2VS,40,40,0.15800905227661133,0.16200923919677734,1.0052600333952555,2.1698712333837493,40,40,0.13300752639770508,0.12200713157653809,232.9459762590904,233.34094578878356,40,40,0.10100579261779785,0.09700560569763184,571.7189336415688,440.3801423750196,40,40,0.12300682067871094,0.11800694465637207,1.0052600333952555,2.1698712333837493,40,40,0.5480315685272217,0.5100293159484863,228.91329157268237,1.006256184220056,40,40,0.5560317039489746,0.5170295238494873,114.90687983817662,1.00630863780775,40,40,0.5390307903289795,0.5210297107696533,115.24579744327417,1.006256184220056
