,oid,classALeRCE,period,source,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
0,ZTF18aajaknt,RRL,0.3210155,CRTSnorth,60,60,0.22001242637634277,0.19301104545593262,0.32102225058241496,0.32102225058241496,60,60,0.15300893783569336,0.13800811767578125,0.8989588962588809,0.3210389846597173,60,60,0.19401097297668457,0.18501043319702148,0.32102225058241496,0.3210389846597173,60,60,1.1550660133361816,1.1600661277770996,0.32102225058241496,0.32102225058241496,60,60,2.412137985229492,2.406137704849243,0.32102225058241496,0.32102225058241496,60,60,1.8611063957214355,1.5090863704681396,0.32102225058241496,0.32102225058241496
1,ZTF19aaejpta,RRL,0.3307685,CRTSnorth,60,60,0.26601529121398926,0.2520143985748291,0.6615180907200872,0.6615180907200872,60,60,0.17901039123535156,0.3260185718536377,0.3307557731831758,0.4948903019557913,60,60,0.4630262851715088,0.4130234718322754,0.3307557731831758,0.3307557731831758,60,60,2.5791473388671875,2.5601463317871094,0.3307557731831758,0.3307557731831758,60,60,2.500142812728882,3.0531744956970215,0.3307557731831758,0.3307557731831758,60,60,2.406137704849243,2.624150037765503,0.3307557731831758,0.3307557731831758
2,ZTF18aaqnqsu,RRL,0.611462,LINEAR,60,60,0.38602209091186523,0.5090289115905762,0.6114595824629274,0.6114595824629274,60,60,0.3610208034515381,0.3480198383331299,0.6114595824629274,0.6114755947796023,60,60,0.4110233783721924,0.41602373123168945,0.6114755947796023,0.6114595824629274,60,60,2.278130531311035,1.805103063583374,0.6114755947796023,0.6114595824629274,60,60,1.6270930767059326,2.7971599102020264,0.6114595824629274,0.6114595824629274,60,60,2.6841537952423096,2.3621349334716797,0.6114755947796023,0.6114277102841295
3,ZTF18aaybscb,RRL,0.646457,LINEAR,60,60,0.3760216236114502,0.369020938873291,1.2929136330275262,1.2929471743961274,60,60,0.24401426315307617,0.23801374435424805,0.6464672022199998,1.2929136330275262,60,60,0.30501747131347656,0.354020357131958,0.6464672022199998,0.6464334982504766,60,60,2.492142677307129,1.9301104545593262,0.6464672022199998,0.6464672022199998,60,60,2.7731587886810303,2.7921597957611084,0.6464672022199998,0.6464672022199998,60,60,2.0911197662353516,1.7721014022827148,0.6464672022199998,0.6464672022199998
4,ZTF18abkeqiu,RRL,0.52843,ASASSN,60,60,0.29201674461364746,0.31801819801330566,0.528404488478453,0.528404488478453,60,60,0.36002063751220703,0.3460197448730469,9.070295291574483,0.528404488478453,60,60,0.40702319145202637,0.3830220699310303,0.5284320371749908,0.5284320371749908,60,60,2.133122205734253,2.4761414527893066,0.528404488478453,0.5284320371749908,60,60,2.8301618099212646,2.549145460128784,0.528404488478453,0.5284320371749908,60,60,1.7661008834838867,1.5720901489257812,0.528404488478453,0.5284320371749908
5,ZTF17aaatlsp,RRL,0.454224,CRTSnorth,60,60,0.5110292434692383,0.47902750968933105,0.45423299339200723,0.45423299339200723,60,60,0.3130178451538086,0.28601622581481934,0.45423299339200723,0.4542093190781318,60,60,0.367020845413208,0.3430194854736328,0.4542566701739181,0.4542093190781318,60,60,2.422138214111328,2.1011204719543457,0.45423299339200723,0.45423299339200723,60,60,1.8171041011810303,2.1771247386932373,0.45423299339200723,0.45423299339200723,60,60,2.0961198806762695,1.670095443725586,0.45423299339200723,0.45423299339200723
6,ZTF18abrymmo,RRL,0.324116,CRTSnorth,60,60,0.2850162982940674,0.2610149383544922,0.6482727148811096,0.6482727148811096,60,60,0.20701169967651367,0.17500996589660645,0.6482727148811096,0.2446211846541857,60,60,0.2540147304534912,0.19201111793518066,0.4802640172583636,0.3241415648804068,60,60,1.1540660858154297,1.1120636463165283,0.4802389797005726,0.3241415648804068,60,60,1.1390650272369385,1.1050631999969482,0.4802389797005726,0.3241246655583896,60,60,1.1360647678375244,1.1000628471374512,0.4802389797005726,0.3241415648804068
7,ZTF17aacksni,RRL,0.4614058,GAIADR2VS,60,60,0.2020118236541748,0.20801186561584473,0.9228180138385503,0.9228180138385503,60,60,0.15300869941711426,0.15700888633728027,1.5702903760878102,0.9229142372203615,60,60,0.18301057815551758,0.1870107650756836,0.8567297458725128,0.8588537396485599,60,60,1.1270642280578613,1.324075698852539,0.4614044497549205,0.461440534906304,60,60,1.1170639991760254,1.3430767059326172,0.4614044497549205,0.4614044497549205,60,60,1.1190640926361084,1.320075511932373,0.4614044497549205,0.46142850787135237
8,ZTF18aavcmhz,RRL,0.5744205,CRTSnorth,60,60,0.2130122184753418,0.20101141929626465,0.5744416466410506,0.5744416466410506,60,60,0.14200830459594727,0.14200806617736816,0.5744715908299756,1.1488348139465283,60,60,0.17901015281677246,0.1760101318359375,0.5744117055736297,0.5743817676272248,60,60,1.1210639476776123,1.1180636882781982,0.5744416466410506,0.5744117055736297,60,60,1.1250643730163574,1.1160638332366943,0.5744715908299756,0.5744117055736297,60,60,1.1140635013580322,1.1240644454956055,0.5744416466410506,0.5744117055736297
9,ZTF17aabvalz,RRL,0.701453,GAIADR2VS,60,60,0.2000114917755127,0.19501090049743652,0.7014363335919058,0.7014729034112697,60,60,0.14400839805603027,0.1410081386566162,0.7014363335919058,0.7014363335919058,60,60,0.18101024627685547,0.1740097999572754,0.7014363335919058,0.411828935854742,60,60,1.1260645389556885,1.1170637607574463,0.7014363335919058,0.7014363335919058,60,60,1.1310648918151855,1.2570719718933105,0.7014363335919058,0.7014363335919058,60,60,1.1250646114349365,1.1110634803771973,0.7014363335919058,0.7014363335919058
